날짜,기사제목
 2023.06.12 16:39,"美 배터리 생산도 보조금도 늘어…LG엔솔, 2분기에도 기록 경신?"
 2023.06.12 15:28,"""어린이집 입소하러 오창 가야겠네""…LG엔솔, 600평 규모 어린이집 ..."
 2023.06.12 14:10,“LG엔솔 어린이집 입소하러 오창으로 이사갈래요”
 2023.06.12 11:48,"LG엔솔, 오창에너지플랜트에 두번째 직장어린이집 개원"
 2023.06.12 11:46,[충북소식] LG엔솔 오창플랜트 어린이집 개원
 2023.06.12 13:38,"LG에너지솔루션 오창 에너지플랜트, '키즈&SOL어린이집' 개원"
 2023.06.12 13:18,"LG엔솔 오창 에너지플랜트, '키즈&SOL어린이집' 개원"
 2023.06.12 11:19,"LG에너지솔루션 오창 에너지플랜트, ‘키즈&SOL어린이집’ 개원"
 2023.06.12 09:46,"LG에너지솔루션, 분할 후 첫 신용등급 평가…AA급 우량채 지위 확보"
 2023.06.11 14:31,"[이번주 추천주] ""상승세 LG엔솔·현대미포조선에 올라탈 만"""
 2023.06.11 14:20,"[데이터로 보는 증시]삼성전자·LG엔솔, 기관·외국인 주간 코스피 순매..."
 2023.06.11 11:37,[주간추천주]2Q 실적 보는 증권가…삼성전자·LG엔솔 '주목'
 2023.06.11 08:54,코스피 주간 외국인 순매수 1위 LG에너지솔루션’
 2023.06.11 07:02,"""드디어 60만원 고지""…LG엔솔 개미들 '환호'"
 2023.06.10 07:50,[유안타證 주간추천주]삼성전자·LG에너지솔루션·두산
 2023.06.09 18:27,[시그널] LG엔솔 첫 신용등급 ‘AA’…1조 회사채 발행 청신호
 2023.06.09 17:25,"LG엔솔, 수입차 딜러와 제휴 배터리 관리사업 강화한다"
 2023.06.09 10:31,"LG엔솔, 수입차 딜러 7곳과 '전기차 배터리 관리 사업' 확대"
 2023.06.09 08:45,"LG엔솔, 수입차 딜러사와 전기차 배터리 관리 사업 확대"
 2023.06.09 08:37,"LG엔솔, 수입차 딜러 7개社와 배터리 관리 사업 확대"
 2023.06.09 15:47,"LG에너지솔루션, 수입차 딜러 7곳과 손잡고 배터리 관리사업"
 2023.06.09 11:32,LG엔솔-수입차딜러 7개사 EV 배터리 관리사업 협력
 2023.06.09 09:54,"엔진관리? 이제 배터리 관리…LG엔솔, 수입차 딜러사에 BaaS 제공"
 2023.06.09 09:09,"LG엔솔, 수입차 공식 딜러 7개사와 BaaS 서비스 협약"
 2023.06.09 09:09,"""전기차 배터리 관리 사업 협력""…LG엔솔, 7개 수입차 딜러사와 맞..."
 2023.06.09 08:47,"LG엔솔, 수입차 딜러 손잡고 전기차 배터리 관리 사업 확대"
 2023.06.09 08:27,"LG엔솔, 수입차 딜러 7개사와 EV 배터리 관리사업 ‘맞손’"
 2023.06.09 08:16,"LG엔솔, 수입차 딜러사와 배터리 관리사업 협력"
 2023.06.09 08:25,배터리관리 시장도 잡아라..LG엔솔 7개 수입차 딜러와 맞손
 2023.06.08 18:25,"진격의 LG엔솔, 非中 배터리 1위 굳건"
 2023.06.08 16:48,"중국 제외 글로벌 배터리 시장, LG에너지솔루션 굳건한 1위"
 2023.06.08 12:11,"LG엔솔, 1∼4월 중국 제외 배터리 시장 1위…中 CATL 추격"
 2023.06.08 11:41,"LG엔솔, 비중국 전기차 배터리 점유율 1위...CATL과 격차는 줄..."
 2023.06.08 11:21,"LG엔솔 1~4월 중국 외 시장 1위 유지…中 CATL, 턱밑까지 추..."
 2023.06.08 10:19,"LG엔솔, 올 1~4월 中 제외한 세계 전기차 배터리 시장서 점유율 ..."
 2023.06.08 17:50,육아에 진심인 LG엔솔 권영수
 2023.06.08 15:33,"""LG엔솔 등 非중국 배터리업체들, 美 IRA 최대수혜"""
 2023.06.08 14:38,"“LG엔솔, 메탈가 하락에도 견조한 실적 예상”...KB증권, 목표가↑..."
 2023.06.08 09:08,"KB증권 ""LG엔솔, 美 환경 규제로 배터리 수주 증가 기대"""
 2023.06.08 08:57,"KB증권, LG엔솔 목표가↑…""미 환경규제 강화 효과 기대"""
 2023.06.08 08:38,"“LG엔솔, 2분기 영업익 컨센서스 상회...메탈가 하락 제한적”"
 2023.06.08 07:49,"LG엔솔, 메탈가 하락에도 견조한 실적…목표가↑-KB"
 2023.06.08 11:05,"'육아에 진심' 권영수 LG엔솔 부회장 ""오창에 최고 어린이집 문연다"""
 2023.06.08 07:01,"加정부, 새로운 지원안 제시…LG엔솔, 공장 재개하나"
 2023.06.08 06:06,"LG엔솔, 호주 노보닉스와 ‘中 의존도 91%’ 인조흑연 공동 개발"
 2023.06.07 18:23,"LG엔솔, 호주 노보닉스와 인조흑연 공동개발"
 2023.06.07 17:16,"LG엔솔, 호주서 인조흑연 공동 개발…""IRA 대응 박차"""
 2023.06.07 17:46,"LG엔솔 회사채 발행 5천억→1조 증액 검토..""신용등급 AA이상 될 ..."
 2023.06.07 16:08,"LG에너지솔루션, 호주 노보닉스와 인조흑연 음극재 공동 개발"
 2023.06.07 08:31,"LG엔솔, 호주 음극재 기업과 '인조흑연' 공동 개발…""中 의존도 낮..."
 2023.06.07 08:25,"LG엔솔, 호주 기업과 ‘음극재 인조흑연’ 공동개발"
 2023.06.07 08:21,"LG엔솔, 호주 기업과 음극재 인조흑연 공동개발"
 2023.06.07 15:55,"[데이터로 보는 증시]삼성전자·LG엔솔, 기관·외국인 코스피 순매수 1..."
 2023.06.07 11:29,"LG엔솔, 핵심 소재 북미 공급망 강화…IRA 대응 속도"
 2023.06.07 09:10,"LG에너지솔루션, 북미 배터리 소재 공급망 강화"
 2023.06.07 09:10,"LG엔솔, 호주 음극재社 투자..북미 공급망 강화"
 2023.06.07 08:58,"LG엔솔 북미 인조흑연社 투자, IRA 배터리소재 수혜 넓힌다"
 2023.06.07 11:09,"LG엔솔, 호주 노보닉스와 인조흑연 공동개발"
 2023.06.07 10:38,LG엔솔 '인조흑연' 공동개발…中 의존도 낮춰
 2023.06.07 09:41,"LG에너지솔루션, 배터리 핵심 소재 '흑연' 공급망 강화"
 2023.06.07 09:30,LG엔솔 2차전지 음극재 인조흑연 개발..필수소재 공급한 상장사는?
 2023.06.07 09:03,음극재 공급망 강화...LG엔솔-노보닉스 인조흑연 개발한다
 2023.06.07 08:39,"LG엔솔, 호주 노보닉스와 음극재 협력…북미 공급망 강화"
 2023.06.07 08:28,"LG엔솔, 호주 노보닉스와 음극재 핵심 소재 인조흑연 공동개발"
 2023.06.06 17:25,LG엔솔·SK온 … 배터리 큰형님들 잘나가네
 2023.06.06 13:04,분할 이후 첫 회사채 발행 LG에너지솔루션…사용처는
 2023.06.05 16:54,"LG엔솔·삼성SDI, 1~4월 두 자릿수 성장…中 공세에 점유율은 하락"
 2023.06.05 10:52,"LG엔솔, 글로벌 전기차 배터리 3위로 밀려"
 2023.06.05 10:10,"LG엔솔 2→3위, 삼성SDI 6→7위…中에 덜미 잡힌 K-배터리"
 2023.06.05 10:08,"LG엔솔, 글로벌 배터리 점유율 2위→3위"
 2023.06.05 09:41,"LG엔솔, 1~4월 전 세계 전기차 배터리 점유율 3위…CATL 1위"
 2023.06.05 11:16,LG엔솔 ‘제주 오션뷰’가 일터... 권영수의 혁신실험
 2023.06.05 10:27,"“서울 지겹죠? 산뷰, 바다뷰 다 드릴게” LG엔솔, 거점오피스 ‘끝..."
 2023.06.02 05:29,LG엔솔·HD현대오일뱅크…6월에도 공모채 시장 '후끈'
 2023.05.31 16:27,"LG엔솔, 렌터카업체와 '전기차 배터리 관리' 사업 협력"
 2023.05.31 15:09,"LG엔솔, 렌터카업체와 배터리 사업 맞손"
 2023.05.31 11:25,"전기차 데이터 확보·관리 서비스...LG엔솔-레드캡투어, 협력 강화"
 2023.05.31 09:15,"LG엔솔-레드캡투어, 전기차 데이터 확보·관리 서비스 추진"
 2023.05.31 09:08,'BaaS' 사업 강화하는 LG엔솔...투어 업체와 맞손
 2023.05.31 08:54,"LG엔솔, 레드캡투어와 맞손…""전기차 배터리 관리 사업 확대"""
 2023.05.31 08:53,"전기차 배터리 정보 ‘돈 된다’…LG엔솔, 레드캡투어와 협력"
 2023.05.31 15:54,"[데이터로 보는 증시]LG엔솔· SK하이닉스, 기관·외국인 코스피 순매..."
 2023.05.31 13:41,"LG엔솔 노조, ‘역대급 실적’에 11.26% 임금 인상 요구"
 2023.05.31 09:35,"LG엔솔-레드캡투어, 전기차 배터리 관리사업 맞손"
 2023.05.31 09:20,"전기차 배터리 상시 관리…LG엔솔, 레드캡투어와 협업"
 2023.05.31 09:17,"LG엔솔-레드캡투어, '전기차 배터리 관리사업 협력강화' MOU"
 2023.05.31 09:03,"LG엔솔-레드캡투어, '전기차 배터리 관리사업 협력강화' MOU"
 2023.05.31 08:35,"LG에너지솔루션, 전기차 배터리 관리 사업 확장"
 2023.05.31 08:19,"레드캡투어, LG에너지솔루션과 전기차 배터리 관리 사업 협약"
 2023.05.30 08:44,"흥국증권, LG엔솔 목표가 올려…""북미 시장 지배력 커"""
 2023.05.29 11:01,[마켓인]LG엔솔부터 호텔롯데까지…AA급 공모채 시장 '노크'
 2023.05.28 17:45,"LG엔솔·LG화학 신용등급, 긍정적→안정적 하향 조정"
 2023.05.28 11:42,"LG엔솔, 북미 공장만 8개…압도적 기술력에 ‘쏟아지는 러브콜’"
 2023.05.27 09:50,"美 조지아주 “현대·LG엔솔 배터리 합작공장, 추가 인센티브 없다”"
 2023.05.26 18:31,"현대차·LG엔솔, 美 배터리 5.7조 투자"
 2023.05.26 15:43,"현대차그룹, LG엔솔과도 동맹…美에 배터리공장 짓는다"
 2023.05.26 15:17,현대차?LG엔솔 5.7조 투자 북미 배터리셀 합작법인 설립 계약
 2023.05.26 13:24,현대차-LG엔솔 미국서 맞손…5.7조 투자해 배터리 공장 설립
 2023.05.26 11:14,현대차-LG엔솔 미국에 합작공장 짓는다
 2023.05.26 11:05,"현대차, 이번엔 LG엔솔과 동맹…5.7조 美배터리 공장 건설"
 2023.05.26 11:02,"현대차-LG엔솔, 美에 배터리셀 합작공장…“전기차 대전 승기 잡겠다”"
 2023.05.26 11:01,"LG엔솔과도 합작법인…현대차그룹, 美서 연 60만대 배터리 확보(종합..."
 2023.05.26 10:56,"현대차그룹·LG엔솔, 미국에 배터리 공장 짓는다..5.7조 투자"
 2023.05.26 10:53,"현대차그룹, LG에너지솔루션과 북미 배터리셀 합작법인 설립"
 2023.05.26 10:44,"현대차그룹-LG엔솔, 美에 '5.7조' 배터리 합작공장 짓는다(상보)"
 2023.05.26 17:38,LG엔솔·현대차 5.7조 투자 美에 車배터리 공장 짓는다
 2023.05.26 16:41,"LG엔솔·현대차, 5.7조 들여 미국에 배터리 공장 짓는다"
 2023.05.26 14:27,"현대차·LG엔솔, 5.7조 투자해 북미 배터리공장 세운다"
 2023.05.26 11:43,"LG엔솔, 현대차와도 美 합작공장…韓美日 차업체와 'IRA 대응' 구..."
 2023.05.26 11:23,"현대차·LG엔솔, 5.7조 투자해 美 배터리 공장…연 30만대 물량(..."
 2023.05.26 10:38,"[속보] 현대차·LG엔솔, 5.7조 투자해 美 배터리 합작공장 건설"
 2023.05.26 17:29,LG엔솔 2026년 북미 배터리 1위 오른다
 2023.05.26 12:29,"현대차·LG엔솔, 손잡고 'K-전기차·배터리' 북미시장 공략"
 2023.05.26 10:40,현대차·LG엔솔 '동맹'…5.7조 투입해 美 배터리 공장 짓는다
 2023.05.26 15:47,LG엔솔 사내기업 ‘에이블’ 올해 하반기 첫 매출 목표
 2023.05.26 15:34,"LG에너지솔루션, 북미 거점으로 글로벌 배터리 주도권 잡는다"
 2023.05.26 14:06,[그래픽] 현대차그룹·LG에너지솔루션 미국 배터리 합작 공장 건설
 2023.05.26 13:47,"'현대차와 JV' LG엔솔, 파나소닉 5배 북미 생산량 확보"
 2023.05.26 10:32,"[속보]현대차그룹, LG엔솔과 5조7천억원 규모 美 배터리 합작법인 ..."
 2023.05.26 10:29,"[속보]현대차그룹, LG엔솔과 5.7조 규모 북미 합작법인 설립"
 2023.05.26 13:44,"현대차그룹, LG에너지솔루션과 북미 배터리셀 합작법인 계약 체결"
 2023.05.26 13:44,"현대차그룹·LG에너지솔루션, 북미 배터리셀 합작법인 설립"
 2023.05.26 13:04,현대차그룹-lg에너지솔루션 북미 배터리셀 합작법인 설립
 2023.05.26 13:04,현대차그룹-lg에너지솔루션 북미 배터리셀 합작법인 설립
 2023.05.26 12:52,현대차그룹-LG에너지솔루션 북미 배터리셀 합작법인 계약 체결
 2023.05.26 12:52,현대차그룹-LG에너지솔루션 북미 배터리셀 합작법인 계약 체결
 2023.05.26 11:29,"현대차그룹·LG엔솔, 5조7천억 美배터리공장 설립 추진"
 2023.05.26 11:26,"현대차-LG엔솔, 美 배터리 합작공장 확정…5조7000억 투자"
 2023.05.26 10:48,"LG엔솔, 현대차와 북미 개척…5조7000억 합작법인 설립"
 2023.05.26 11:14,"LG에너지솔루션, 미국 자회사에 1조44567억 출자"
 2023.05.26 11:07,"LG에너지솔루션, 미국 자회사에 1.5조 출자 [주목 e공시]"
 2023.05.26 10:39,"LG에너지솔루션, 미국 자회사에 1조4657억 출자"
 2023.05.26 10:49,"현대차그룹·LG엔솔, 美 배터리 합작공장 설립…年 30만대 물량 생산"
 2023.05.26 10:39,"현대차그룹·LG엔솔, 미국에 배터리 합작공장 설립…30만대 물량(상보..."
 2023.05.25 19:15,"LG엔솔 찾은 이창양 ""2차전지 초격차 기술 추진"""
 2023.05.25 18:15,LG엔솔 찾은 산업장관 “5년 내 배터리 5대 수출품으로 성장”
 2023.05.25 16:08,[르포] ‘배터리 공장의 엄마’… LG엔솔 오창 에너지플랜트동영상기사
