날짜,기사제목
 2023.06.12 15:25,"LG전자, MZ세대 공략위한 휘센 에어컨 캠페인 진행"
 2023.06.12 10:01,"LG전자, MZ세대에 ‘휘센’ 브랜드 알리는 캠페인 진행"
 2023.06.12 10:01,"크러쉬, LG전자와 '휘센 뮤직 비디오' 만든다"
 2023.06.12 11:38,LG전자 '휘센' 고객 경험 캠페인 진행…'MZ세대' 접점 늘린다
 2023.06.12 10:29,LG전자 에어컨 ‘휘센’ 철자 거꾸로 읽으니 이런 일이…MZ겨냥 캠페...
 2023.06.12 10:02,가수 크러쉬가 LG전자와 '쉼이 있는 삶' 전파에 나선 사연은?
 2023.06.12 10:02,"LG전자, ‘휴식 아이콘’ 크러쉬와 휘센 에어컨 ‘내심, 바람’ 캠페..."
 2023.06.12 10:01,"휘센을 거꾸로 하면?…LG전자, 크러쉬와 '내심·바람' 캠페인"
 2023.06.12 10:01,"LG전자, ‘내심. 바람’ 캠페인으로 MZ세대 다가간다"
 2023.06.12 10:58,"LG전자, 탈중국 속도…중동·아프리카 시장 '정조준'"
 2023.06.12 10:00,"LG전자, MZ세대에게 가깝게 다가가는 고객경험 캠페인 진행"
 2023.06.12 09:42,썰렁해진 야간 무인매장…LG전자 축소운영
 2023.06.12 08:52,"“LG전자, TV 교체 사이클…B2B 사업 성장성 재평가”"
 2023.06.12 08:30,"“LG전자, TV 교체 사이클 도래…수요 여건 대비 선전 중”"
 2023.06.12 07:52,"LG전자, TV교체 사이클 도래…이익 성장세 견고-키움"
 2023.06.12 07:45,"LG전자, 수요 여건보다 선전…B2B 성장세 긍정적-키움"
 2023.06.12 07:22,"""LG전자, B2B 사업 성장성 재평가 필요""-키움"
 2023.06.11 18:13,LG전자 자율주행 활용 '교통안전 솔루션 고도화' 실증 완료
 2023.06.11 10:00,"LG전자, 자율주행 기술 고도화로 위험 낮춘다"
 2023.06.11 10:39,"LG전자, '어린이 교통안전 특화시스템 실증사업' 완료"
 2023.06.11 10:38,"LG전자, '어린이 교통안전 특화시스템 실증사업' 완료"
 2023.06.11 10:33,"LG전자, '어린이 교통안전 특화시스템 실증사업' 완료"
 2023.06.11 10:01,"LG전자, 자율주행 기술 기반 교통안전 솔루션 고도화"
 2023.06.11 10:01,"LG전자, 자율주행 데이터로 교통안전 높인다"
 2023.06.11 10:01,"LG전자, 서울시와 어린이 교통안전 시스템 실증사업 마쳐"
 2023.06.11 10:00,"LG전자-서울시, 어린이 교통안전 특화시스템 실증사업 완료"
 2023.06.11 10:00,"LG전자, 더 정교해진 자율주행 기술 기반 교통안전 솔루션 공개"
 2023.06.11 10:00,"LG전자, '교통안전 솔루션' 더 정교해진다…실증사업 완료"
 2023.06.10 06:33,"[영상]“가전은 LG” 동의하십니까?…주가 끌어올린 “車는 LG”, L..."
 2023.06.10 06:02,"조주완 LG전자 사장, “사우디·인도 시장에서 성장 기회 확대”[CEO..."
 2023.06.09 17:44,"코트라 인베스트코리아, 김영재 LG전자 상무 등 홍보대사 위촉"
 2023.06.09 15:55,"코트라, 韓투자홍보대사에 김영재 LG전자 상무 등 위촉"
 2023.06.09 15:01,"코트라, 한국투자홍보대사에 김영재 LG전자 상무 임명"
 2023.06.09 15:50,LG전자 '서브봇' 3세대로 美 외식시장 공략 속도전
 2023.06.09 14:02,"LG전자, 유어네이키드치즈와 콜라보 팝업스토어 오픈"
 2023.06.09 14:01,"LG전자, 유어네이키드치즈와 와인셀러 팝업스토어 운영"
 2023.06.09 10:25,"LG전자 그램, 美 유력 소비자매체서 최고 점수…애플 맥북과 ‘투톱’"
 2023.06.09 09:02,"LG전자, 2023년형 LG 휘센 오브제컬렉션 제습기 출시"
 2023.06.09 09:01,"LG전자, 신제품 LG 휘센 오브제컬렉션 제습기로 제습 시장 선도"
 2023.06.09 09:01,"LG전자, 23년형 신제품 LG 휘센 오브제컬렉션 제습기 출시"
 2023.06.09 09:00,"LG전자 ""LG 휘센 '오브제컬렉션' 제습기로 실내 환경 개선하세요"""
 2023.06.08 18:25,MZ 정조준 '지코 한정판' LG전자 슈케이스·슈케어
 2023.06.08 10:00,"LG전자, 가수 지코와 스타일러 슈케어ㆍ슈케이스 협업"
 2023.06.08 10:00,"LG전자, 스타일러 슈케이스·슈케어 '지코 한정판' 마케팅"
 2023.06.08 14:19,"LG전자 스탠바이미 고, 사전 판매 10분 만에 완판"
 2023.06.08 11:02,10분 만에 완판…난리난 LG전자 신제품 '스탠바이미 GO'
 2023.06.08 14:12,"LG전자 전장사업, TV 사업만큼 커진다…수익개선 본격화"
 2023.06.08 12:51,"LG전자, '지코 한정판' 슈케어·슈케이스 선봬"
 2023.06.08 11:23,"LG전자, ‘스타일러 슈케이스·슈케어’ 한정판 마케팅 지코와 협업"
 2023.06.08 10:01,"LG전자, 슈케어·슈케이스…지코와 손잡고 '한정판' 출시"
