날짜,기사제목
 2023.06.12 23:00,"네이버 라인(LINE), 일본서 증권업 손뗀다"
 2023.06.12 18:53,"네이버클라우드, 신임 CIO에 이상준 전 센터장 선임"
 2023.06.12 18:11,"네이버클라우드, 이상준 CIO 사내이사 신규 선임"
 2023.06.12 17:59,"[단독] 핵심인력 유출에…네이버클라우드, CIO 선임·CSO 폐지 등..."
 2023.06.12 18:32,"네이버는 내고 넷플릭스는 안 내고?…""망 이용대가 제대로 논의해야"""
 2023.06.12 18:07,네이버 제2사옥 외국 VIP '필수코스' 됐다
 2023.06.12 13:56,"샤르자 왕자, 네이버 1784 방문…""혜안 얻었다"""
 2023.06.12 13:42,"UAE와 협력 강화하는 네이버... 샤르자 사우드 왕자, 네이버178..."
 2023.06.12 13:02,"네이버 사옥 방문한 UAE 셰이크 사우드 왕자…""혜안 얻었다"""
 2023.06.12 13:01,"UAE 디지털전환 이끄는 사우드 왕자, 네이버 1784 찾았다"
 2023.06.12 13:01,UAE 왕실도 방문…디지털 메카 된 '네이버 1784'
 2023.06.12 13:01,네이버 1784 찾은 UAE 샤르자 왕자…생성형 AI 협력 관심
 2023.06.12 13:01,"""UAE 샤르자 왕자도 방문"" 글로벌 인사들 네이버 1784 홀릭 이..."
 2023.06.12 13:01,UAE 샤르자 왕자 네이버 1784 방문
 2023.06.12 13:00,사우디 이어 UAE도 방문…중동과 가까워지는 네이버
 2023.06.12 17:02,"“한 때 3위였는데”…‘먹통사태’ 네이버, 코스피 시총 10위 수성도 ..."
 2023.06.12 09:47,"네이버, 인플루언서 콘텐츠·가상인물 검색에도 AI 적용"
 2023.06.12 16:00,네이버에 청신호…UAE왕자 방문에 핑크빛 전망 '솔솔'
 2023.06.12 13:01,네이버 1784에 UAE 사우드 왕자 방문… ‘테크 컨버전스’ 사례 ...
 2023.06.12 13:00,"UAE 왕세자, 네이버 로봇 친화형 빌딩 1784 방문…채선주 대표 ..."
 2023.06.12 15:26,"""알고리즘 악용""… 공정위, OECD에 네이버·카카오 제재 소개"
 2023.06.12 10:02,"공정위 “알고리즘, 담합 악용 가능성”…국제사회에 카카오·네이버 사건..."
 2023.06.12 14:56,"""네이버 라인, 증권거래서비스 노무라증권에 이관 검토"""
 2023.06.12 11:25,네이버·카카오 포털뉴스 댓글 개편… ‘국적 표시 의무화’ 이뤄질까
 2023.06.12 11:17,"[게시판] 네이버 커넥트재단, 세종시와 3년째 AI 교육 진행"
 2023.06.12 09:36,"""영상툰으로 배우는 AI"" 네이버-세종시, 디지털 인재양성"
 2023.06.12 09:17,"네이버 커넥트재단, 세종시와 디지털 인재 양성…'소프트웨어야 놀자' ..."
 2023.06.12 09:10,"네이버 커넥트재단, 세종시와 함께 디지털 인재 양성"
 2023.06.12 10:52,"공정위, '네이버 커뮤니케이션 애드' 부당 거짓광고 우려"
 2023.06.12 09:50,"""한국형 AI 오피스 구축""…'네이버클라우드와 맞손' 폴라리스오피스 1..."
 2023.06.12 09:21,"폴라리스오피스, 네이버클라우드와 한국형 AI 오피스 개발한다"
 2023.06.12 09:06,"[특징주]폴라리스오피스, 네이버클라우드와 AI 서비스 협력개발에 8%..."
 2023.06.12 08:48,"폴라리스오피스, 네이버클라우드와 대규모 AI 기술 협력"
 2023.06.12 08:44,"폴라리스오피스, 네이버클라우드와 초대규모 AI 기술 협력"
 2023.06.12 08:25,"폴라리스오피스, 네이버클라우드와 '초거대' AI 생태계 만든다"
 2023.06.11 16:35,韓 안방 노리는 오픈AI·구글…네이버·카카오 3Q 승부수 던진다
 2023.06.11 09:00,"노골적 견제?…구글, 네이버 '초거대AI 공개 코앞 韓정부와 AI축제..."
 2023.06.11 11:20,"공정위 “네이버 AI 온라인 광고, 표시광고법·전자상거래법 위법 가능성..."
 2023.06.11 10:43,"공정위 ""네이버 AI 광고, 표시광고법·전자상거래법 위법 가능성도"""
 2023.06.11 08:52,네이버 보안 기술 누구나… ‘NShiftkey’ 솔루션 공개
 2023.06.11 07:00,‘전례 없는 확산’ 챗GPT發 AI 경쟁…‘검색 종말’ 눈앞에 둔 네이...
 2023.06.10 09:25,신라·백제가 중국 땅에 있었다?...때아닌 역사 왜곡 만화에 네이버웹툰...
 2023.06.10 09:01,"네이버, 웨일북 신제품 내놓는다…교육 시장 공략 강화"
 2023.06.10 06:01,[김정유의 웹툰파헤치기]강아지가 사람으로?…네이버웹툰 ‘마루는 강쥐’
 2023.06.09 17:58,"식약처, 네이버·카카오 등과 온라인 불법행위 자율점검 확대"
 2023.06.09 17:09,네이버 임직원도 오픈AI CEO에 질문…청중 1000명 몰려
 2023.06.09 14:19,"네이버웹툰 원작 '사냥개들', 넷플릭스 시리즈로 재탄생"
 2023.06.09 10:03,네이버웹툰 '사냥개들' 9일 넷플릭스 시리즈로 공개
 2023.06.09 09:14,"네이버웹툰 ‘사냥개들’, 오늘 넷플릭스서 전세계 공개"
 2023.06.09 12:42,"네이버, 네이버랩스에 700억 추가출자…R&D투자 목적"
 2023.06.09 11:32,"네이버페이, 현장결제 포인트 뽑기 혜택 월 50회로 확대"
 2023.06.09 10:48,"네이버페이, 현장결제 포인트 뽑기 월 30회→50회로 확대"
 2023.06.09 10:31,네이버 안에 삼성페이 넣자…월 30회 이상 현장결제하는 이용자 8배 ...
 2023.06.09 10:27,"남양유업, 9일 하루 '네이버 도착보장 메가세일' 전개"
 2023.06.09 08:37,"""최대 53% 할인""…남양유업, '네이버 도착보장 메가세일'"
 2023.06.09 08:31,"남양유업, '네이버 도착보장 메가세일' 열어…최대 53% 할인"
 2023.06.09 09:46,네이버 보안 점검 툴 외부와 공유…오픈소스 공개
 2023.06.09 08:30,"“NAVER, 불황에도 홀로 달린다…하반기 기대감도↑”"
 2023.06.09 08:23,"[클릭 e종목]""네이버, 경기불황에도 실적 순항"""
 2023.06.09 08:08,"네이버, 하반기 실적개선 전망…""모멘텀 풍부하다""-대신"
 2023.06.09 07:45,"네이버, 하반기 실적 개선 등 긍정 모멘텀 풍부-대신"
 2023.06.09 06:01,"악플 사라질까…네이버 '악플러 노출' ,다음 '하루살이 채팅'"
 2023.06.08 19:51,"“7천원 냈는데, 쓰지도 못하고 환불 받아라?” 네이버 왜 이래?"
 2023.06.08 18:00,"네이버, 네이버랩스에 700억 출자…""R&D 투자 목적"""
 2023.06.08 16:30,"네이버, 네이버랩스에 700억원 출자…""R&D 투자"""
 2023.06.08 17:46,네이버·카카오에 '매출 10% 과징금' 때리나
 2023.06.08 17:34,제2 '네이버통장' 나오게 은행업 위탁 규제 확 푼다
 2023.06.08 15:46,"[특징주] 네이버·카카오 등 기술주, 美 금리인상 우려에 하락(종합)"
