날짜,기사제목
 2023.06.12 18:12,"SDV시대… 현대차·기아, R&D조직 스타트업처럼 유연하게 바꾼다"
 2023.06.12 18:04,"현대차·기아, 연구개발 '스타트업' 모델로 확 바꾼다"
 2023.06.12 16:51,"현대차·기아 연구개발 조직 뜯어 고친다…""스타트업처럼 유연하게"""
 2023.06.12 16:47,"'미래 모빌리티' 준비하는 현대차·기아, 조직도 스타트업처럼 바꾼다"
 2023.06.12 18:01,"기아 '킹산직'…국내 최고기업 직원들도 관심, 왜?"
 2023.06.12 10:53,"'킹산직' 열기 또 달아오른다…기아, 생산직 채용 시작"
 2023.06.12 17:28,"현대차·기아, R&D 조직 대수술…“스타트업 닯은 혁신 시스템 구축”"
 2023.06.12 16:59,"""SDV 개발 최적화""…현대차·기아, 연구개발 조직 '대수술'"
 2023.06.12 16:39,"현대차·기아, 연구개발 조직 대규모 개편…""스타트업처럼 유연하게"""
 2023.06.12 14:41,현대차·기아 5개월새 수출 100만대 육박…친환경차 비중 30%
 2023.06.12 11:45,"현대차·기아 미래차, 4대그룹이 함께 만든다…'전장동맹' 포효"
 2023.06.11 18:12,해외출장 간 김에 휴가까지 쭉... 현대차·기아 직원은 참 좋겠네
 2023.06.11 14:04,"“해외 출장 끝? 휴가 시작!” 현대차·기아, 출장자 업무복지 강화"
 2023.06.11 13:16,"""현대차·기아 직원들 좋겠네""…해외출장 끝낸 후 '여행객 모드'"
 2023.06.11 10:12,"현대차·기아, 해외출장 지원강화…위워크 공유사무실 무료이용"
 2023.06.11 09:31,"현대차·기아, 해외출장 공유오피스 지원에 ‘업무+휴가’ 장려"
 2023.06.11 09:01,"‘가고싶은 기업 1위’ 되겠네…현대차·기아, 새로운 복지혜택 살펴보니"
 2023.06.11 09:01,"현대차·기아, 해외 출장자들 현지서 일할 곳 만든다"
 2023.06.11 09:00,해외출장 간 김에 휴가 붙여 놀다 온다…현대차·기아 복지 플렉스
 2023.06.11 10:01,"기아, ‘니로’ 디자인 입힌 한정판 신발 수익금으로 ‘숲’ 조성"
 2023.06.11 09:40,"""간 김에 쉬다와""…현대차·기아, 해외 출장 업무 복지 강화"
 2023.06.09 19:00,"기아 AutoLand광주, ‘2023 기아챌린지 사업’후원"
 2023.06.09 10:59,"현대차·기아, 1~4월 非중국 전기차 판매량 2위→4위 하락"
 2023.06.09 10:07,"1~4월 중국 제외 전기차 판매량…현대차·기아 4위, 작년 2위서 밀..."
 2023.06.09 10:00,"기아, 12일 19일 '해외 투자자' 대상 기업설명회 개최"
 2023.06.09 09:50,"기아, 12·19일 기업설명회 개최"
 2023.06.09 07:32,"‘정의선 매직’ 다시한번 통할까…‘80세’ 기아, 62년전 명차 부활 ..."
 2023.06.08 18:13,"""소비자 부담 완화""…현대차·기아, 무이자·저금리 할부 확대"
 2023.06.08 17:32,"현대차·기아, 개소세 인하 종료에 할부 프로그램 시행"
 2023.06.08 16:21,"현대차·기아, 개소세 인하 종료에 일부차종 할부금리↓"
 2023.06.08 16:00,"현대차·기아, 개소세 인하 종료에 특별 무이자 할부 프로그램 시행"
 2023.06.08 15:06,"택시운전사에 나왔던 '브리사'…기아 ""이렇게 복원한다"""
 2023.06.08 09:31,"""기아도 브리사·삼륜차 등 헤리티지 프로그램 생각"""
 2023.06.07 14:52,'주 4일 근무·정년연장'…기아 노사 임단협 '난항 예고'
 2023.06.07 14:30,"훔치기 쉬운 차 팔았다...현대차·기아, 뉴욕시로부터 소송 당해"
 2023.06.07 08:23,"뉴욕시, 현대차·기아 제소…""절도 용이한 차량 판매"""
 2023.06.07 08:17,"뉴욕시, ""차량절도 너무 쉽다"" 현대차·기아에 소송 제기"
 2023.06.07 12:01,다음달부터 '기아 소렌토' 개소세 52만원 낮아져
 2023.06.07 10:14,"美뉴욕시 ""차량절도 너무 쉽다"" 현대차·기아에 손배소(종합)"
 2023.06.07 09:53,"카니발 생산 차질 빚나…‘신규 채용 늘려달라’는 기아 노조, 특근 거부"
 2023.06.07 09:52,BYD·테슬라 1~4월 전기차 점유율 1·2위…현대기아 7위로 밀려
 2023.06.07 09:04,"신한證 “기아, 해외 판매 실적 견조…'매수’ 유지”"
 2023.06.07 08:50,"“기아, 실적 모멘텀 유지 구간에서 주가 견조할 것”…목표가↑"
 2023.06.07 08:18,"""기아, 견조한 선진국 경기에 2분기도 실적 모멘텀 유지""-신한"
 2023.06.07 08:13,"[클릭 e종목]""기아, 순조로운 실적 모멘텀 유지 중"""
 2023.06.07 07:41,"기아, 실적 모멘텀 유지중…주가 하락 어려워-신한"
