날짜,기사제목
 2023.06.13 01:20,한 달에 한 번 금요일 쉰다…삼성전자 '금요 휴무제' 도입
 2023.06.12 18:37,"""인재 뺏길라""…삼성전자 '주 4일제' 파격 실험 나선다"
 2023.06.12 18:37,"삼성전자 ""주 40시간 일하면 월 1회 휴무""…회사가 먼저 제안"
 2023.06.13 01:12,"""美, 삼성·하이닉스에 대중 반도체 수출통제 유예 연장"""
 2023.06.12 23:01,"삼성전자, ‘월 1회 주 4일’ 근무한다…월중휴무제 도입"
 2023.06.12 22:05,"삼성전자, '월중휴무제' 도입…월1회 주4일제 실시"
 2023.06.12 20:20,"""월 1회는 주 4일제""…삼성, 이달부터 '월중휴무제' 실시"
 2023.06.12 20:04,"삼성전자, 월 1회 연차 안쓰고 쉰다"
 2023.06.12 19:53,"삼성전자, 부분적 주4일제 도입…월1회 주4일 일한다"
 2023.06.12 19:23,"삼성전자, '월1회 주4일 근무' 월중휴무제 이달부터 시행"
 2023.06.12 19:11,"삼성전자, 이달부터 월 1회 주 4일 근무 시행"
 2023.06.12 18:58,"삼성전자, 월 1회 금요일 쉰다…'월중휴무제' 이달부터 시행"
 2023.06.12 22:15,"당장 23일부터 하루 쉰다...삼성전자, ‘주4일 근무’ 부분 도입"
 2023.06.12 19:54,"삼성전자, ‘주4일 근무’ 부분 도입… 한 달에 한 번 금요일 쉰다"
 2023.06.12 21:33,1분기 파운드리 점유율 TSMC 60%·삼성전자 12%…격차 더 확대
 2023.06.12 18:39,"삼성전자, 1분기 파운드리 점유율 12.4%로 하락… TSMC와 격차..."
 2023.06.12 18:12,"""파운드리로 붙자"" 삼성, 美테일러시에 추가 공장 짓는다"
 2023.06.12 18:07,"삼성전자, 1분기 파운드리 점유율 12.4%…""TSMC와 격차 더 벌..."
 2023.06.12 17:55,삼성 파운드리 1Q 매출 36.1%↓…점유율도 하락
 2023.06.12 17:44,"삼성, ‘파운드리 점유율’ 5년 만에 최저…대만 반도체는 60% 돌파..."
 2023.06.12 17:44,TSMC 점유율 60% 넘겼다…삼성 파운드리 12%대 하락
 2023.06.12 17:12,"""TSMC 추격 쉽지않네""…삼성전자, 파운드리 매출 36% 감소"
 2023.06.12 17:03,"삼성 파운드리, 1분기 매출 36.1% 급감…""2분기는 완화"""
 2023.06.12 16:59,삼성전자 1분기 파운드리 점유율 12.4%로 하락…TSMC 60% 돌...
 2023.06.12 15:49,반도체 불황에도 TSMC 독주..삼성은 美 투자 확대 '마이웨이'
 2023.06.12 21:05,"“이러니 다들 아이폰 타령만” 삼성 쓰면 왕따?, 설마했는데 실화였다"
 2023.06.12 14:56,"Z세대 아이폰 선호 현상에… 삼성·애플, 1분기 북미 스마트폰 점유율..."
 2023.06.12 19:23,"삼성重, 부산에 R&D센터 해양플랜트 거점 만든다"
 2023.06.12 18:08,"삼성重, 부산에 R&D센터…JY의 '지역균형 투자' 가속"
 2023.06.12 18:52,“2억화소 카메라폰인데 고작 90만원 ‘헐값’?” 삼성도 놀란 대만폰
 2023.06.12 18:34,"“사실상 ‘칩 매국노’ 아니냐” 삼성 공장, 중국에 ‘복제’ 시도…K-..."
 2023.06.12 17:07,中에 삼성공장 복제 시도…이완용과 다름없다[기자수첩]
 2023.06.12 17:04,中에 반도체 기술을 통째로…잡고 보니 하이닉스 살린 삼성의 달인
 2023.06.12 14:53,"삼성 전 임원, 中에 ‘짝퉁 반도체공장’ 세우려다 덜미"
 2023.06.12 18:29,삼성 반도체공장 통째 베껴 中에 '복제공장' 만들려 했다
 2023.06.12 18:06,"압도적 화질…삼성, 세계 첫 듀얼 QHD 게이밍 모니터"
 2023.06.12 11:08,"삼성전자, 세계 첫 ‘듀얼 QHD’ 게이밍 모니터 출시"
 2023.06.12 11:02,"삼성전자, 세계 첫 ‘듀얼 QHD’ 게이밍 모니터 ‘오디세이 OLED..."
 2023.06.12 11:01,"삼성전자, 듀얼 QHD 게이밍 모니터 '오디세이 OLED G9' 출시"
 2023.06.12 11:01,"삼성전자, 세계 최초 듀얼 QHD OLED 게이밍 모니터 출시"
 2023.06.12 11:01,"삼성전자, 세계 첫 듀얼 QHD '오디세이 OLED G9' 출시"
 2023.06.12 11:00,"삼성전자, 세계 최초 '듀얼 QHD' OLED 게이밍 모니터 출시"
 2023.06.12 11:00,"삼성전자, '세계 최초 듀얼 QHD' OLED 게이밍 모니터 출시"
 2023.06.12 17:56,中에 삼성 반도체 '복제공장' 생길뻔…피해액 최소 3000억
 2023.06.12 17:33,中에 삼성 복제공장 생길 뻔…기술유출 비상
 2023.06.12 15:47,[그래픽] 삼성전자 반도체 기술 해외 유출 개요
 2023.06.12 14:31,중국에 삼성 반도체 '복제공장' 세우려 했다…자료 유출 어떻게?
 2023.06.12 13:39,삼성전자 반도체공장 통째로 베껴 중국에 '복제공장' 세우려했다(종합)
 2023.06.12 12:55,중국에 삼성 반도체 공장 '복제판' 만들려다…삼성 전 직원 등 7명 ...
 2023.06.12 11:02,"3000억대 삼성전자 반도체 공장 기술 中유출…檢, 7명 기소"
 2023.06.12 11:00,중국에 '삼성 반도체 공장' 복제 노렸다…삼성 전 간부 등 7명 재판...
 2023.06.12 17:05,"JY ‘지역균형발전’ 의지…삼성重, 부산에 대규모 R&D 거점(종합)"
 2023.06.12 10:29,"이재용 ""지역과 함께 성장""…삼성重, 부산에 새 R&D 센터"
 2023.06.12 17:01,"[단독] ""팔당 취수 어려워""…300조 삼성클러스터 '삐걱'"
 2023.06.12 16:14,"""18년 한 가족 임원조차""…삼성전자, 끊이지 않는 기술유출 '속앓이'"
 2023.06.12 15:50,"[데이터로 보는 증시]삼성전자·포스코퓨처엠, 기관·외국인 코스피 순매수..."
 2023.06.12 15:46,맞춤형 AI 개발한다는 삼성전자…챗GPT와 다른점은
 2023.06.12 09:24,"삼성전자, 챗GPT 대체 '맞춤형 AI' 연내 도입"
 2023.06.12 15:42,"코스피, FOMC 앞두고 약세…삼전 1% 뚝, 대형주 '부진'"
 2023.06.12 15:22,"공정위, 삼성 등 4대 대기업 통근버스 현황 자료 요구"
 2023.06.12 14:52,"엑시콘, 삼성전자와 71억 규모 반도체 검사장비 계약 체결"
 2023.06.12 14:48,"엑시콘, 삼성전자와 71억 규모 반도체 검사장비 공급계약 [주목 e공..."
 2023.06.12 14:09,"엑시콘, 삼전과 71억 규모 반도체 검사장비 공급계약"
 2023.06.12 14:15,"[기자의 눈] 삼성전자, 파운드리 회사 M&A는 어떤가"
 2023.06.12 13:35,6월 엔지니어상에 삼성전자 김형옥·라이드플럭스 박중희
 2023.06.12 12:01,6월 韓엔지니어상에 삼성전자 김형옥·라이드플럭스 박중희 선정
 2023.06.12 12:01,6월 대한민국 엔지니어상에 삼성전자 김형옥 수석·라이드플럭스 박중희 ...
 2023.06.12 12:00,3㎚ 차세대 반도체 개발한 김형옥 삼성전자 연구원…6월의 엔지니어상
 2023.06.12 12:00,6월 엔지니어상에 삼성전자 김형옥·라이드플럭스 박중희
 2023.06.12 11:51,"[특징주]동양이엔피, 전원장치 36년·삼성 협력사…전기차·로봇 핵심 충..."
 2023.06.12 11:37,"삼성전자, ‘세계 최초’ 듀얼 QHD OLED 게이밍모니터 출시"
 2023.06.12 11:10,"""'겜심' 잡아라"" 삼성, 게이밍 모니터 라인업 늘린다"
 2023.06.12 11:00,삼성전자 '듀얼 QHD OLED 게이밍 모니터' 출시
 2023.06.12 11:00,"삼성전자, 세계 첫 듀얼 QHD 적용 게이밍 모니터 출시"
 2023.06.12 11:00,듀얼 QHD 해상도 적용한 '삼성 오디세이 OLED G9'
 2023.06.12 11:00,"삼성전자, 세계 첫 듀얼 QHD 적용 게이밍 모니터 출시"
 2023.06.12 11:17,"[단독] 삼성액티브운용, 신규 액티브 ETF 브랜드는 ‘코엑트’..내달..."
 2023.06.12 11:10,중국에 삼전 반도체 공장 통째로 복제 시도…구속 기소
 2023.06.12 11:03,중국 자본으로 삼성전자 반도체 공장 통째로 복제 건설 시도
 2023.06.12 11:00,삼성전자 반도체공장 통째로 베껴 중국에 '복제공장' 세우려했다
 2023.06.12 11:10,"""실외기 1대로 에어컨 3대 연결"" 삼성이 선보인 신개념 에어컨"
 2023.06.12 11:02,“실외기 1대로 에어컨 3대까지 연결” 삼성전자 ‘비스포크 무풍에어컨...
 2023.06.12 11:01,"""실외기 1대로 에어컨 3대까지""…삼성전자, '비스포크 무풍에어컨 핏..."
 2023.06.12 11:01,"실외기 하나로 ‘방방냉방’…삼성, 홈멀티 에어컨 신제품 출시"
 2023.06.12 11:01,"실외기 1대로 최대 3대…삼성, '비스포크 무풍에어컨 핏홈' 출시"
 2023.06.12 11:01,실외기 1대로 에어컨 3대까지…삼성 '방방냉방' 수요 정조준
 2023.06.12 11:00,"""실외기 1대로 에어컨 3대""…삼성전자 '비스포크 핏홈' 출시"
 2023.06.12 11:00,실외기 1대로 에어컨 3대를…삼성 '비스포크 무풍에어컨 핏홈'
 2023.06.12 11:00,"실외기 1대로 에어컨 3대까지 OK…삼성전자, 홈멀티 에어컨 출시"
 2023.06.12 11:00,삼성 신개념 홈멀티 제품 '비스포크 무풍에어컨 핏홈'
 2023.06.12 11:00,"삼성전자, '실외기 1대로 에어컨을 3대까지'"
 2023.06.12 11:00,"삼성전자, '비스포크 무풍에어컨 핏홈' 출시"
 2023.06.12 11:01,"삼성전자, 게이밍 모니터 ‘오디세이 OLED G9′ 출시"
 2023.06.12 11:01,"삼성전자, 게이밍 모니터 '오디세이 OLED G9' 출시"
 2023.06.12 11:00,"삼성전자, 게이밍 모니터 오디세이 OLED G9 출시"
 2023.06.12 11:00,"삼성전자, 오디세이 OLED G9 출시"
 2023.06.12 11:00,"삼성전자, 오디세이 OLED G9 출시"
 2023.06.12 11:00,"삼성전자, 듀얼 QHD OLED 게이밍 모니터 오디세이 OLED G9..."
 2023.06.12 11:00,"삼성전자, 듀얼 QHD OLED 게이밍 모니터 오디세이 OLED G9..."
 2023.06.12 11:00,"삼성, OLED 게이밍 모니터 '오디세이 OLED G9' 출시"
 2023.06.12 11:00,"삼성전자, 오디세이 OLED G9 출시"
 2023.06.12 11:00,"삼성전자, 게이밍 모니터 오디세이 OLED G9 출시"
 2023.06.12 11:00,"삼성전자, 게이밍 모니터 오디세이 OLED G9 출시"
 2023.06.12 11:00,"삼성전자, 게이밍 모니터 '오디세이 OLED G9' 출시"
 2023.06.12 11:01,"삼성전자, 소비전력 72% 줄인 ‘비스포크 무풍에어컨 핏홈’ 출시"
 2023.06.12 11:00,"삼성전자, '비스포크 무풍에어컨 핏홈' 출시"
 2023.06.12 11:00,"삼성전자, '비스포크 무풍에어컨 핏홈' 출시"
 2023.06.12 11:00,"삼성전자, 홈멀티 에어컨 '비스포크 무풍에어컨 핏홈' 출시"
 2023.06.12 09:13,"""침대는 시몬스, 가전은 삼성""…'웨딩클럽' 혜택 확 늘렸다"
 2023.06.12 09:05,"시몬스, 삼성전자 '비스포크 웨딩클럽' 혜택 강화"
 2023.06.12 06:10,"TV 판매 반등에 '삼성 고객' 기대도…LG디스플레이 ""하반기 웃는다"""
 2023.06.12 06:01,"바이오시밀러 '10파전'…삼성에피스, '24조' 美 휴미라 시장 성공 ..."
 2023.06.11 19:50,"[단독] 삼성 파운드리 양산 車 HUD용 칩, 현대차 제네시스에 탑재"
 2023.06.11 18:40,"경계현 ""삼성특화 챗GPT, 외부기업과 개발"""
 2023.06.11 18:13,"삼성이 쓸 AI, 삼성이 만든다... 경계현 ""내년부터 쓰게 될 것"""
 2023.06.11 17:22,삼성전자 맞춤형 AI 도입
 2023.06.11 16:45,"경계현 삼성전자 사장 ""전문기업과 협업해 '맞춤형 챗GPT' 도입"""
 2023.06.11 10:29,"삼성전자, 연내 '맞춤형 AI' 개발... 경계현 ""내년부터 사용"""
 2023.06.11 06:01,"챗GPT 보안 우려에…삼성전자, 연내 맞춤형 AI 도입한다"
 2023.06.11 18:08,"""물 먹는 하마라더니""…삼성·하이닉스 '물관리' 잘하네"
 2023.06.11 17:59,"""반도체 만들던 '삼성' 맞나요?""…세계 의사들 깜짝 놀란 이유"
 2023.06.11 17:42,AI열풍에 반도체 회복 기대 미래 투자 밀어붙이는 삼성
 2023.06.11 14:20,"[데이터로 보는 증시]삼성전자·LG엔솔, 기관·외국인 주간 코스피 순매..."
 2023.06.11 14:02,"[株슐랭 가이드] 실적 개선주에 주목... 현대미포조선, 삼성전자 '관..."
 2023.06.11 13:37,‘삼성전자 1인자’가 그린 큰 그림…외제차 아닌 국산차 운전했던 까닭은...
 2023.06.11 08:31,"삼성-현대차, 차량용 반도체 '맞손'…미래차도 합작할까"
 2023.06.11 12:00,'석유로 가전 사세요'…삼성·LG가 중동 모래바람 잠재운다
 2023.06.11 11:37,[주간추천주]2Q 실적 보는 증권가…삼성전자·LG엔솔 '주목'
 2023.06.11 10:20,"역시 국민주… 삼성전자, 5월 주식 선물하기도 1위"
 2023.06.11 09:48,"이차전지 열풍에도 굳건한 삼성전자, 주식 선물하기 1위"
 2023.06.11 07:07,투자자의 꺼지지 않는 삼성전자 사랑…5월 주식 선물하기 1위
 2023.06.11 10:06,"삼성전자, 'The Daydream Believers : 꿈, 마침내'..."
 2023.06.11 10:06,"삼성전자, 'The Daydream Believers : 꿈, 마침내..."
 2023.06.11 10:06,"삼성전자, 'The Daydream Believers : 꿈, 마침내..."
 2023.06.11 10:06,"삼성전자, 'The Daydream Believers : 꿈, 마침내..."
 2023.06.11 10:06,"삼성전자, 'The Daydream Believers : 꿈, 마침내..."
 2023.06.11 09:48,삼성 '더 프레임'으로 만나는 하이브 아티스트
 2023.06.11 09:48,삼성 '더 프레임'으로 만나는 하이브 아티스트
 2023.06.11 09:48,삼성 '더 프레임'으로 만나는 하이브 아티스트
 2023.06.11 09:37,"""BTS·르세라핌, 삼성TV로 만난다""…삼성-하이브, 초상화 전시회 ..."
 2023.06.11 09:34,"BTS, 세븐틴, 르세라핌 초상화를 TV로?… 삼성x하이브 전시회"
 2023.06.11 09:17,"삼성전자, TV 활용해 하이브 아티스트 초상 사진 전시"
 2023.06.11 09:03,"삼성전자 ‘더 프레임’, BTS 등 하이브 아티스트 담는다"
 2023.06.11 09:16,삼성 '더 프레임'으로 BTS·세븐틴·르세라핌 만난다
 2023.06.11 09:10,"""BTS·세븐틴, 삼성TV '더 프레임'으로 만나보세요"""
 2023.06.11 08:21,삼성 '더 프레임'으로 BTS·세븐틴 등 하이브 아티스트 만난다
 2023.06.11 08:55,코스피 주간 기관 순매수 1위 ‘삼성전자’
 2023.06.11 08:55,코스피 주간 개인 순매도 1위 ‘삼성전자’
 2023.06.11 08:31,삼성 세계 최초 ‘기술’ 얼마나 대단하면…대만·일본도 따라할까 [비즈3...
 2023.06.11 06:41,반도체 '2나노 전쟁' 재점화…TSMC 선공에 삼성 바짝 추격
 2023.06.11 07:15,고물가에 가전 PB도 '훨훨'…가성비로 삼성·LG에 '맞짱'
 2023.06.11 06:34,삼성도 부러워한다는 이 회사...주가 폭등 비결은? [뉴스 쉽게보기]
 2023.06.10 16:01,'현대차-삼성전자' 조합 기대되는 이유
 2023.06.10 15:52,“나오면 무조건 완판입니다” 난리난 삼성 제품…작정하고 ‘최저가?’
 2023.06.10 13:13,"경계현 삼성전자 사장 “챗GPT, 내년부터 쓸 수 있게 한다”"
 2023.06.10 09:09,"[현장]경계현 ""삼성, 기술로 TSMC 추격 중"""
 2023.06.10 09:01,네이처에 실린 삼성전자 '강유전체' 논문 언박싱 <2> [강해령의 하이...
 2023.06.10 08:01,"삼성, 프랑크푸르트 신경영 선언 30주년 外[금주의 산업계 이슈]"
 2023.06.10 07:50,[유안타證 주간추천주]삼성전자·LG에너지솔루션·두산
 2023.06.10 07:20,“군대 같던 문화 떨쳐야” 삼성 조직은 정말 달라지고 있을까 [비즈36...
 2023.06.10 07:02,AI 챗GPT에 ‘삼성전자·에코프로 주가 더 오를 수 있을까’ 물었더니...
 2023.06.10 07:01,"메타버스 기기 3파전…'고급화' 애플 vs '대중화' 메타, 삼성의 선..."
 2023.06.10 06:01,"“설치·해체 쉽고 가격도 저렴”… 삼성·LG, 창문형 에어컨 들고 1인..."
 2023.06.10 06:01,삼성과 LG는 언제부터 라이벌?…'반세기 경쟁史' 톺아보기③ [노우리의...
 2023.06.10 05:43,[더차트] '300조' 삼성전자만 있나…상장사 매출 톱10 기업은
 2023.06.09 21:06,"[현장]경계현 사장 ""삼성전자, 실패할 자유 보장된 곳"""
