날짜,기사제목
 2023.05.30 18:23,한화투자證 ‘삼성전자우선주 랩어카운트’ 출시
 2023.05.30 14:23,"한화투자증권, 랩어카운트 '델타랩 삼성전자우' 출시"
 2023.05.30 10:17,"[증시신상품] 한화투자증권, '한화 델타랩 삼성전자우' 출시"
 2023.05.30 10:14,"한화투자증권, 랩어카운트 서비스'한화 델타랩 삼성전자우' 출시"
 2023.05.30 10:07,"한화투자증권, 랩어카운트 '델타랩 삼성전자우' 출시"
 2023.05.30 10:02,"한화투자증권, '한화 델타랩 삼성전자우' 출시"
 2023.05.30 09:37,한화투자증권 ‘한화 델타랩 삼성전자우’ 출시
 2023.05.30 09:36,"“삼전 효과 누리자” 한화투자증권, ‘한화 델타랩 삼성전자우’ 출시"
 2023.05.30 09:36,한화증권 '삼성전자 우선주' 투자 랩어카운트 출시
 2023.05.06 07:02,"""딸 셋 대학 보내려 삼성전자우 5000만원 베팅""…30대 계좌 보니 ..."
 2023.04.10 17:36,삼성전자우 상승률 삼전 절반에 그쳤네
 2023.03.26 09:29,코스피 외국인 순매도 1위 ‘삼성전자우’
 2023.01.10 07:01,"""삼성전자·삼성전자우, 뭘 사야 할까?""…보통주와 우선주 [주식공부방]"
 2022.09.22 09:55,"삼성전자 우선주, '4만전자' 털썩...美 3연속 금리인상 충격"
 2023.04.10 17:36,삼성전자우 상승률 삼전 절반에 그쳤네
 2023.03.26 09:29,코스피 외국인 순매도 1위 ‘삼성전자우’
 2023.01.10 07:01,"""삼성전자·삼성전자우, 뭘 사야 할까?""…보통주와 우선주 [주식공부방]"
 2022.09.22 09:55,"삼성전자 우선주, '4만전자' 털썩...美 3연속 금리인상 충격"
