날짜,기사제목
 2023.06.12 19:17,"카카오엔터, 10년 이상 고연차 대상 이·전직 프로그램 가동"
 2023.06.12 18:42,"“저연차 기회 열어주자” 카카오엔터, 10年 직원 ‘이직지원금’ 지원"
 2023.06.12 18:07,카카오브레인 '투톱 체제' 전환... AI 활용 버티컬 서비스 강화
 2023.06.12 18:01,"카카오브레인, 2인 각자 대표체제 전환"
 2023.06.12 17:14,김병학 카카오브레인 각자 대표
 2023.06.12 14:03,"카카오브레인, '김병학·김일두' 체제 구축...AI 두 갈래로 개발"
 2023.06.12 11:17,"카카오브레인, 각자 대표체제 전환... “AI역량 강화”"
 2023.06.12 10:19,"카카오브레인, 김병학 대표 선임…각자대표 체제 전환"
 2023.06.12 10:17,"카카오브레인, 2인 대표 체제로…김병학 각자대표 선임"
 2023.06.12 09:46,"카카오브레인, 각자 대표 체제 전환…김병학 카카오 AI TF장 선임"
 2023.06.12 09:37,김일두-김병학 ‘투톱’ 카카오브레인..버티컬AI 강화
 2023.06.12 09:22,"카카오브레인, 김병학 대표 선임…2인 대표 체제 출범"
 2023.06.12 09:20,"카카오브레인, 각자 대표 체제 전환…AI 역량 강화"
 2023.06.12 09:19,"카카오브레인, 각자 대표체제 전환…초거대·버티컬 AI 구축"
 2023.06.12 17:41,카카오 독립한 '다음'의 다음이 보이기 시작한 이유
 2023.06.12 14:38,"'주제별 수다 나누세요'…카카오, 새 커뮤니티 서비스 출시"
 2023.06.12 13:48,"카카오, 다음카페 오픈형 커뮤니티 ‘테이블’ 출시"
 2023.06.12 10:43,"카카오, 가입·등업 없는 오픈형 커뮤니티 '테이블' 론칭"
 2023.06.12 10:32,"“번거로운 가입, ‘등업’ 없앴다” 카카오, 다음 카페 오픈형 커뮤니..."
 2023.06.12 10:28,"카페 가입·등업 없이도 OK…카카오, 오픈 커뮤니티 '테이블' 론칭"
 2023.06.12 10:17,"""테이블에서 잠깐 놀다 가""…카카오, 다음카페 내 오픈형 커뮤니티 '..."
 2023.06.12 12:24,"카카오브레인, 각자 대표 체제로...AI 사업 강화 포석"
 2023.06.12 09:59,"카카오브레인, 김병학 대표 선임…2인 각자대표 체제로"
 2023.06.12 09:28,"카카오브레인 ""초거대 AI 모델 구축""…김병학 각자대표 선임"
 2023.06.12 09:26,"카카오브레인, 각자 대표 체제 전환… 신임 대표에 김병학"
 2023.06.12 11:27,"카카오모빌리티, 싱가포르와 ‘카카오T’ 성공전략 공유"
 2023.06.12 11:10,"카카오모빌리티, 싱가포르 교통부와 플랫폼 전략 논의"
 2023.06.12 10:14,"카카오모빌리티, 싱가포르 교통부에 플랫폼 성공 전략 공유"
 2023.06.12 09:38,"'카카오T'에 반한 싱가포르…""해외 진출 본격화"""
 2023.06.12 09:23,"카카오모빌리티, 사옥서 싱가포르 교통부와 간담회…모빌리티 기술 현황 ..."
 2023.06.12 11:25,네이버·카카오 포털뉴스 댓글 개편… ‘국적 표시 의무화’ 이뤄질까
 2023.06.12 10:40,"카카오 VX, 골프장 '세라지오 GC' 친환경 탈바꿈"
 2023.06.12 10:08,"카카오 VX, 플라스틱 없는 친환경 골프장 변신 박차"
 2023.06.12 10:02,"공정위 “알고리즘, 담합 악용 가능성”…국제사회에 카카오·네이버 사건 ..."
 2023.06.12 09:46,"카카오엔터, 웹툰 ‘킹더랜드’ 공개… 드라마와 동시 출격"
