날짜,기사제목
 2023.06.12 18:12,"'수주 100兆' 포스코퓨처엠, 다음 스텝은 세계 점유율 ‘확대’"
 2023.06.12 15:11,"'배터리사 일감 풍년' 포스코퓨처엠, 양·음극재 수주 1년간 100조..."
 2023.06.12 15:50,"[데이터로 보는 증시]삼성전자·포스코퓨처엠, 기관·외국인 코스피 순매수..."
 2023.06.11 18:10,포스코퓨처엠 ‘차세대 이차전지’ 핵심원료 상용화 속도낸다
 2023.06.11 14:47,포스코퓨처엠 '차세대 이차전지' 핵심원료 상업화 추진
 2023.06.08 15:07,"포스코퓨처엠, 2050년까지 탄소중립 목표"
 2023.06.08 09:26,"포스코퓨처엠, 기업시민보고서 발간… ESG경영 성과 공개"
 2023.06.08 09:23,"포스코퓨처엠, 기업시민보고서 발간… ESG경영 전략·성과 공개"
 2023.06.08 09:18,"포스코퓨처엠, 2050 탄소중립 달성목표…태양광발전 확대"
 2023.06.08 09:02,"포스코퓨처엠, 기업시민보고서 발간…“ESG 경영 강화”"
 2023.06.08 11:47,"포스코퓨처엠, 기업시민보고서 발간"
 2023.06.08 11:16,"포스코퓨처엠, 기업시민보고서 발간…ESG경영 성과 공개"
 2023.06.08 09:43,"포스코퓨처엠, 2050년 탄소중립 달성한다…기업시민보고서 발간"
 2023.06.08 09:09,"포스코퓨처엠, ‘기업시민보고서’ 발간…ESG 경영 전략·성과 담아"
 2023.06.07 17:32,"""포스코퓨처엠, 양극재 업체 최선호주…음극재도 성장 기대"" [투자360..."
 2023.06.07 14:55,"[주가동향] 포스코퓨처엠, 83조 수주 '대박'... 리튬가격 반등에 ..."
 2023.06.07 11:17,"“포스코퓨처엠, 양극재 업체 중 가장 높은 경쟁력”...현대차증권 매..."
 2023.06.07 08:46,"현대차증권 ""포스코퓨처엠, 2분기 수익성 개선…업종 최선호주"""
 2023.06.07 08:39,"""포스코퓨처엠, 2차전지 소재 업체 '톱픽'…경쟁력 갖춰""-현대차"
 2023.06.07 08:10,"포스코퓨처엠, 2차전지 소재 업체 최선호주…성장 기대-현대차"
 2023.06.07 07:41,"포스코퓨처엠, 중장기 시장 지배력 확대…고밸류 정당화-현대차"
 2023.06.07 06:27,"잭팟 3방에 '83조' 일감…포스코퓨처엠 양극재 ""더 큰 게 남았다"""
 2023.06.05 08:48,"[클릭 e종목]“포스코퓨처엠, 캐나다 장기공급 추가 계약…양극재 협상력..."
 2023.06.05 07:31,"포스코퓨처엠, 캐나다 장기공급 추가 계약…양극재 높은 협상력 입증-삼..."
 2023.06.02 18:31,"포스코퓨처엠, 美에 13조 양극재 공급"
 2023.06.02 18:01,"포스코퓨처엠, 북미에 1조원 양극재·전구체 공장"
 2023.06.02 17:12,"포스코퓨처엠, 글로벌 배터리 소재 강자 도약한다"
 2023.06.02 16:37,"GM과 손 잡은 지 1년 만에…포스코퓨처엠, 북미에 1조 또 투자"
 2023.06.02 15:54,"포스코퓨처엠, 북미 양극재·전구체 생산에 1조 추가 투자"
 2023.06.02 14:07,"포스코퓨처엠, GM과 합작 1년만 1兆 투자..加양극재 생산 2배↑"
 2023.06.02 13:39,"포스코퓨처엠, GM 합작사 '얼티엄캠'에 1조 추가 투자…""양극재 증..."
 2023.06.02 13:36,"포스코퓨처엠, GM 손잡고 북미 배터리소재 1조원 추가 투자"
 2023.06.02 13:29,"포스코퓨처엠-GM, 북미 양극재·전구체 투자 확대"
 2023.06.02 13:22,"포스코퓨처엠, GM과 캐나다 공장 투자 확대"
 2023.06.02 12:28,"포스코퓨처엠-GM, 북미 배터리 양극재·전구체 투자 확대"
 2023.06.02 16:44,정전피해 포스코퓨처엠 포항 내화물공장 전력공급 재개
 2023.06.02 13:39,"포스코퓨처엠, 1014억 투자해 中과 전구체 합작사 세운다"
 2023.06.02 12:04,"포스코퓨처엠, 中 전구체 합작법인에 1014억 규모 출자 결정"
 2023.06.02 13:13,"‘북미 전기차 주도권 잡자’…포스코퓨처엠·GM, 투자 확 키운다"
 2023.06.02 12:33,"포스코퓨처엠, GM 합작 배터리소재 공장에 1조원 추가 투자"
 2023.06.02 12:28,"포스코퓨처엠 ""해외 종속회사, 13조 규모 양극재 공급 계약 체결"""
 2023.06.02 12:15,"포스코퓨처엠, 포스코케미칼캐나다에 1조 규모 출자 결정"
 2023.06.02 11:55,"포스코퓨처엠 ""니켈제련·전구체 관련 투자 현재 논의 중"""
 2023.06.01 15:59,"[데이터로 보는 증시]포스코퓨처엠·SK하이닉스, 기관·외국인 코스피 순..."
 2023.06.01 09:20,"포스코퓨처엠 ""포항 내화물공장 정전, 아직 복구 안 돼"""
 2023.06.01 07:48,포항 냉천 하수관 공사 중 고압선 절단…포스코퓨처엠 공장 가동 차질
 2023.05.31 21:03,하수도 공사 중 고압선 절단…포스코퓨처엠 내화물공장 피해
 2023.05.30 17:18,포스코퓨처엠-GM 합작사 캐나다정부서 3천억 보조금
 2023.05.30 15:27,"포스코퓨처엠·GM 합작사, 加정부서 3억달러 보조금"
 2023.05.30 11:19,포스코퓨처엠-GM 양극재 합작사에 캐나다 정부 3000억 지원
 2023.05.30 09:35,"포스코퓨처엠·GM 합작사, 캐나다정부서 2900억 지원"
 2023.05.30 08:21,"포스코퓨처엠-GM 합작사, 캐나다 정부 지원금 2900억원 확보"
 2023.05.30 08:21,"포스코퓨처엠-GM 합작사, 캐나다 정부로부터 3000억원 지원"
 2023.05.30 15:35,"[특징주] 포스코퓨처엠, 캐나다 정부 대규모 지원 소식에 강세(종합)"
 2023.05.30 09:42,"포스코퓨처엠, 캐나다 정부 자금 지원 소식에 장 초반 4%대 ↑ [특..."
 2023.05.30 09:41,[특징주]캐나다 정부 자금 지원 소식에 포스코퓨처엠 4% ↑
 2023.05.30 09:10,"[특징주] 포스코퓨처엠, 캐나다 정부 대규모 지원 소식에 상승"
 2023.05.30 10:00,"포스코퓨처엠 주가, 캐나다 정부 3000억 지원 소식에 급등 [투자36..."
 2023.05.30 09:44,"포스코퓨처엠·GM 합작사, 캐나다서 2900억 지원 받는다"
 2023.05.30 09:31,"포스코퓨처엠, 캐나다 양극재 공장 1500억 지원금 확보"
 2023.05.30 09:28,"포스코퓨처엠, 캐나다 정부 2900억 지원에 4% 급등"
 2023.05.30 09:07,"포스코퓨처엠-GM 합작사, 캐나다 정부서 대규모 투자 지원받는다"
 2023.05.30 09:07,"포스코퓨처엠-GM 합작사, 캐나다 정부서 2900억 받는다"
 2023.05.30 09:04,"포스코퓨처엠·GM 합작사, 캐나다 정부서 투자 지원"
 2023.05.30 08:47,"포스코퓨처엠-GM 양극재 공장…캐나다 정부 ""자금 지원 결정"""
 2023.05.30 09:22,"캐나다, 포스코케미칼-GM 합작 배터리 소재 공장에 3000억원 투자"
 2023.05.30 08:19,"캐나다, 포스코퓨처엠-GM 양극재공장에 약 3천억 지원(종합)"
 2023.05.30 08:17,"캐나다, 포스코퓨처엠-GM 배터리 소재 합작공장에 3천억원 지원"
 2023.05.29 09:31,"포스코인터, 탄자니아 흑연 포스코퓨처엠에 공급한다"
 2023.05.25 08:35,"메리츠증권 ""포스코퓨처엠, 수직계열화로 사업 경쟁력 강화"""
 2023.05.24 09:26,한달 동안 추락하던 포스코퓨처엠·에코프로비엠 ‘2차전지’의 ‘깜짝 반등...
 2023.05.23 18:21,"포스코퓨처엠, 포스텍 등과 배터리 인재양성 '맞손'"
 2023.05.23 13:19,"[특징주] 포스코퓨처엠, 증권가 호평 속 5% ↑"
 2023.05.23 10:46,"포항에 양극재 공장 짓는 포스코퓨처엠, 지역인재도 키운다"
 2023.05.23 10:28,"포스코퓨처엠, 포스텍-포철공고-포항시와 배터리 인재 키운다"
 2023.05.23 14:54,"증권가 호평 등에 업은 포스코퓨처엠 5%대 강세 [오늘, 이 종목]"
 2023.05.23 10:11,"[특징주] 포스코퓨처엠, 증권가 호평에 5%대 강세"
 2023.05.23 14:50,"포스코퓨처엠, 포스텍·포철공고와 '이차전지 인재육성'"
 2023.05.23 13:42,"포스코퓨처엠, 포항공대·포철공고와 배터리 인재 육성"
 2023.05.23 11:37,인사말 하는 김준형 포스코퓨처엠 사장
 2023.05.23 11:36,인사말 하는 김준형 포스코퓨처엠 사장
 2023.05.23 11:08,"포스코퓨처엠, 포스텍·포철공고·포항시 인재육성 MOU"
 2023.05.23 10:33,"포스코퓨처엠, 포스텍과 손잡고 배터리소재 인재 키운다"
 2023.05.23 10:29,"포스코퓨처엠, 이차전지 전문가 양성 위한 산학협력"
 2023.05.23 10:14,"포스코퓨처엠, 포스텍·포철공고·포항시와 '배터리 인재' 키운다"
 2023.05.23 10:05,"포스코퓨처엠, 포항공대에 배터리 석·박사 과정 운영"
 2023.05.23 10:02,"포스코퓨처엠, 포스텍·포철공고·포항시와 ‘배터리 인재’ 육성한다"
 2023.05.23 13:48,"[주가동향] 포스코퓨처엠, 광물·가공·소재생산 일원화 구축 가능... ..."
 2023.05.23 09:20,"[특징주]포스코퓨처엠, 5%대 강세…證 ""목표가 41만원"""
 2023.05.23 08:45,"포스코퓨처엠, 2분기 영업이익률 반등 기대 - SK"
 2023.05.23 08:35,"SK證 “포스코퓨처엠, 공급 계약 구조 변화로 유리해져…영업이익률 반..."
 2023.05.23 08:28,"""포스코퓨처엠, 안정적인 사업기틀 마련…목표가 41만원""-SK"
 2023.05.23 11:37,포스코퓨처엠 이차전지 전문인력 양성 협약
 2023.05.23 11:36,포스코퓨처엠 이차전지 전문인력 양성 협약
 2023.05.23 11:19,‘재반등 시작?’ 포스코퓨처엠 6%대 급등…테슬라發 훈풍에 2차전지株 ...
 2023.05.23 09:14,테슬라發 훈풍에 이차전지주 강세…포스코퓨처엠 3%대 상승
 2023.05.21 18:03,"""대형주 강세 온다""…포스코퓨처엠·LG전자 등 목표주가 줄상향"
 2023.05.10 11:40,"“착한 광물만 써요” 포스코퓨처엠, 원료 공급망 프로세스 공개"
 2023.05.10 11:35,"포스코퓨처엠, 2번째 책임광물보고서 발간"
 2023.05.10 09:37,"""원료 공급망 관리 철저""..포스코퓨처엠, 두번째 책임광물보고서 발간"
 2023.05.10 09:34,"포스코퓨처엠, 두 번째 책임광물보고서…“ESG 경영 관점서 공급망 구..."
 2023.05.10 09:10,"""착한 광물만 사다 씁니다"" 포스코퓨처엠의 두번째 약속"
 2023.05.10 09:02,"포스코퓨처엠, 두 번째 책임광물보고서 발간"
 2023.05.10 09:01,"포스코퓨처엠, 착한 공급망관리 담은 '책임광물보고서' 두번째 발간"
 2023.05.10 09:27,"포스코퓨처엠 ""인권침해 우려없는 광물만""…책임광물보고서 발간"
 2023.05.10 09:14,"포스코퓨처엠, 책임광물보고서 발간"
 2023.05.08 08:16,"유안타, 포스코퓨처엠 목표가↑…""양극재 수주·증설 기대"""
 2023.05.08 07:55,"포스코퓨처엠, 배터리 소재 밸류체인 완성中…목표가↑-유안타"
 2023.05.07 18:29,"개인은 사고, 외국인은 팔고… 포스코퓨처엠 맞대결 승자는"
 2023.05.07 09:07,코스피 주간 개인 순매수 1위 ‘포스코퓨처엠’
