날짜,기사제목
 2023.06.12 18:33,"현대차그룹, 해외서 번 59억달러 들여온다"
 2023.06.12 18:33,"현대차그룹, 배당 받아 전기차 투자…""빌리는 돈 줄이고 경상수지 개선..."
 2023.06.12 18:27,"현대차 해외서 번 8兆 국내 전기차에 쏟는다 [질주하는 현대차, 한국..."
 2023.06.12 17:12,"현대차그룹, 해외에서 번 59억불 국내 투자...창사 이래 최대"
 2023.06.12 13:14,"현대차그룹, 해외법인 배당금 7.8조 '국내 전기차' 투자한다"
 2023.06.12 10:37,"현대차그룹, 해외법인 유보금 7조8000억원 들여온다…국내 전기차 투..."
 2023.06.12 09:11,"현대차그룹, 국내 전기차 투자에 해외법인 유보금 푼다"
 2023.06.12 08:52,"현대차그룹, 해외 유보금 국내 전기차 투자에 쓴다"
 2023.06.12 18:19,"해외 유보금 '국내 유턴' 작년의 10배… ""경상수지 개선 기대"" [질..."
 2023.06.12 18:12,"SDV시대… 현대차·기아, R&D조직 스타트업처럼 유연하게 바꾼다"
 2023.06.12 18:07,현대차그룹 첫 CTO에 김용화 사장
 2023.06.12 18:04,"현대차·기아, 연구개발 '스타트업' 모델로 확 바꾼다"
 2023.06.12 17:27,"현대차그룹, R&D 조직 대대적 개편…전동화·SDV시대 대응"
 2023.06.12 16:51,"현대차·기아 연구개발 조직 뜯어 고친다…""스타트업처럼 유연하게"""
 2023.06.12 16:47,"'미래 모빌리티' 준비하는 현대차·기아, 조직도 스타트업처럼 바꾼다"
 2023.06.12 17:28,"현대차·기아, R&D 조직 대수술…“스타트업 닯은 혁신 시스템 구축”"
 2023.06.12 16:59,"""SDV 개발 최적화""…현대차·기아, 연구개발 조직 '대수술'"
 2023.06.12 16:55,"""스타트업처럼 유연하게"" 현대차그룹, 연구조직 대개편"
 2023.06.12 16:39,"현대차·기아, 연구개발 조직 대규모 개편…""스타트업처럼 유연하게"""
 2023.06.12 16:50,"현대차, 퀘스타 어워즈 최고상 수상"
 2023.06.12 16:38,"현대차 임단협 막 올랐다…노사 13일 상견례, 협상 개시"
 2023.06.12 16:37,"HD현대, 자율 근무복장 첫 허용…""반바지 입어도 된다"""
 2023.06.12 16:10,"현대차, 싱가포르서 아이오닉5 생산…대당 가격이 무려"
 2023.06.12 16:10,"[그래픽] 올해 1~4월 현대차 튀르키예 판매량, 토요타 넘었다"
 2023.06.12 15:05,"올해 1~4월 현대차 튀르키예 판매량, 토요타 넘었다"
 2023.06.12 15:57,"""내년엔 300명 공채""…'현대차그룹 킹산직' 관심 커진다"
 2023.06.12 15:42,"법인세 개편 효과…현대차그룹, 7.8조 '자본 리쇼어링'"
 2023.06.12 12:48,"현대차그룹, 해외에서 번 59억불 尹대통령 방문한 이 공장들에 투자한..."
 2023.06.12 11:30,"현대차그룹, 국내 전기차 분야 투자 확대 위해 59억불 규모 자본 리..."
 2023.06.12 11:26,현대차그룹 해외배당 8조 국내투자
 2023.06.12 08:46,"현대차그룹, 해외법인서 7.8조원 국내로...""전기차 등에 투자"""
 2023.06.12 15:36,"현대차 아반떼 N TCR, 이탈리아 '월드투어' 정상 올랐다"
 2023.06.12 10:13,"현대차, '2023 TCR 월드투어' 이탈리아 대회 우승"
 2023.06.12 09:19,"현대차 엘란트라 N TCR, '2023 TCR 월드투어' 이탈리아대회..."
 2023.06.12 08:54,"현대차, '아반떼 N TCR'로 '2023 TCR' 이탈리아 대회 우..."
 2023.06.12 15:35,현대차에 테슬라·폭스바겐까지…車업계 ‘배터리 내재화’ 예열 중 [비즈3...
 2023.06.12 15:34,"현대차그룹, 해외법인 유보금 8조원 '리쇼어링'...""법인세법 개정 덕..."
 2023.06.12 10:33,"현대차그룹, 해외 자회사 배당금으로 국내 전기차 공장 짓는다"
 2023.06.12 09:23,"현대차그룹, 7.8조 '자본 리쇼어링'…“국내 전기차 투자 확대”"
 2023.06.12 14:41,현대차·기아 5개월새 수출 100만대 육박…친환경차 비중 30%
 2023.06.12 14:38,"캐스퍼 많이 보인다 했더니…현대차 SUV ‘톱3’, 롱런 비결은? [여..."
 2023.06.12 11:45,"현대차·기아 미래차, 4대그룹이 함께 만든다…'전장동맹' 포효"
 2023.06.12 11:18,"현대차 아반떼 N TCR, 伊 TCR 월드투어 우승"
 2023.06.12 09:39,"현대차 '아반떼 N TCR', TCR 월드투어 이탈리아 대회 우승"
 2023.06.12 09:21,"현대자동차 아반떼 N TCR, '2023 TCR 월드투어' 이탈리아 ..."
 2023.06.12 09:21,"현대자동차 아반떼 N TCR, '2023 TCR 월드투어' 이탈리아 ..."
 2023.06.12 09:21,"현대자동차 아반떼 N TCR, '2023 TCR 월드투어' 이탈리아 ..."
 2023.06.12 08:58,"현대차 아반떼 N TCR, ‘TCR 월드투어’ 伊대회 우승"
 2023.06.12 08:43,현대차 '아반떼 N TCR'타고 '2023 TCR' 이탈리아 대회 우...
 2023.06.12 11:13,7만전자 판 개미들…현대차로 몰려간다
 2023.06.12 10:50,세계 수소차 시장 전년대비 11.5％ ‘역성장’…현대차 1위
 2023.06.12 10:23,"'노란봉투법 닮은꼴' 현대차 손배소…대법 소부→전합→소부, 왜?"
 2023.06.12 09:25,"현대차그룹, 해외법인서 59억달러 리쇼어링…전동화 투자 확대"
 2023.06.12 07:14,中메이커에도 밀린 현대차…日서 지난달 17대 판매
 2023.06.11 19:50,"[단독] 삼성 파운드리 양산 車 HUD용 칩, 현대차 제네시스에 탑재"
 2023.06.11 18:25,현대차에 삼성칩·SK배터리·LG패널…'K-전차연합' 뜬다
 2023.06.11 18:26,"현대차, 美 마케팅 퀘스타 어워즈 최고상"
 2023.06.11 13:52,"현대차그룹, '퀘스타 어워즈' 자동차 부문 '그랜드 위너상' 수상"
 2023.06.11 13:50,"현대차그룹, '퀘스타 어워즈 2023' 그랜드 위너상 수상"
 2023.06.11 13:50,"현대차그룹, '퀘스타 어워즈 2023' 그랜드 위너상 수상"
 2023.06.11 09:41,"현대차그룹 기술캠페인 영상, 美 '퀘스타 어워즈' 최고상"
 2023.06.11 18:12,해외출장 간 김에 휴가까지 쭉... 현대차·기아 직원은 참 좋겠네
 2023.06.11 17:28,현대차 직원 출장가면 위워크서 일한다…일 마치면 현지 여행
 2023.06.11 15:24,"현대차, 해외출장자 업무복지 강화"
 2023.06.11 14:08,"""팀장님, 해외 출장 끝나고 바로 휴가 갑니다""..현대차의 복지 실험"
 2023.06.11 14:04,"“해외 출장 끝? 휴가 시작!” 현대차·기아, 출장자 업무복지 강화"
 2023.06.11 13:16,"""현대차·기아 직원들 좋겠네""…해외출장 끝낸 후 '여행객 모드'"
 2023.06.11 10:12,"현대차·기아, 해외출장 지원강화…위워크 공유사무실 무료이용"
 2023.06.11 09:31,"현대차·기아, 해외출장 공유오피스 지원에 ‘업무+휴가’ 장려"
 2023.06.11 09:01,"현대차·기아, 해외 출장자들 현지서 일할 곳 만든다"
 2023.06.11 09:01,"‘가고싶은 기업 1위’ 되겠네…현대차·기아, 새로운 복지혜택 살펴보니"
 2023.06.11 09:00,해외출장 간 김에 휴가 붙여 놀다 온다…현대차·기아 복지 플렉스
 2023.06.11 17:50,"현대차 기술캠페인 영상, 美 마케팅 시상식서 최고상"
 2023.06.11 14:38,"현대차그룹 '아동학대' 예방 영상, 美 '퀘스타 어워즈' 최고상"
 2023.06.11 14:19,"‘4000만 조회수’ 현대차그룹, 기술 캠페인 영상 美 '퀘스타 어워..."
 2023.06.11 11:06,현대차 기술 캠페인 영상 美 '퀘스타 어워즈 최고상'
 2023.06.11 09:28,"현대차그룹, 美 '퀘스타 어워즈 2023' 최고상 수상"
 2023.06.11 09:26,"현대차 기술 캠페인 영상, 미국서 인정 받았다"
 2023.06.11 09:40,"""간 김에 쉬다와""…현대차·기아, 해외 출장 업무 복지 강화"
 2023.06.11 08:31,"삼성-현대차, 차량용 반도체 '맞손'…미래차도 합작할까"
 2023.06.10 16:01,'현대차-삼성전자' 조합 기대되는 이유
 2023.06.10 13:57,"현대자동차, '포니의 시간' 전시 개최"
 2023.06.09 16:51,노조법 3조 개정안에 우려 표한 학계…현대차 대법 판단에도 '촉각'
 2023.06.09 16:03,"“수소차의 표준”…현대차, 2024 넥쏘 출시"
 2023.06.09 08:53,"현대차, 수소전지차 넥쏘 연식변경 모델 출시"
 2023.06.09 08:41,"현대차, '2024 넥쏘' 출시"
 2023.06.09 15:58,"현대차, 영화 ‘스파이더맨’서 미래 모빌리티 기술 선보여"
 2023.06.09 11:32,‘스파이더맨’에 하늘 나는 현대차 콘셉트카
 2023.06.09 09:48,"현대차, '스파이더맨' 신작서 미래 모빌리티 비전 공개"
 2023.06.09 09:44,스파이더맨 신작의 신스틸러…날아다니는 미래 현대차 '깜짝'
 2023.06.09 09:44,신작 스파이더맨서 미래형 현대차 엿본다…소니와 세번째 협업
 2023.06.09 15:09,"현대차, 20일 기업설명회 개최"
 2023.06.09 14:42,"현대차, 스파이더맨 신작에서 미래 모빌리티 선보인다"
 2023.06.09 09:28,‘스파이더맨’에 하늘 나는 현대차 콘셉트카 등장 ‘눈길’
 2023.06.09 09:12,현대자동차와 소니 픽처스의 세 번째 만남
 2023.06.09 09:12,"현대차, 개봉 앞둔 '스파이더맨'서 미래 모빌리티 비전 선보인다"
 2023.06.09 09:09,"‘스파이더맨에 아이오닉6가?’ 현대차, 소니 픽처스와 협업"
 2023.06.09 08:47,"현대차, '스파이더맨: 어크로스 더 유니버스'서 미래 모빌리티 비전 ..."
 2023.06.09 08:47,"현대차, '스파이더맨: 어크로스 더 유니버스'서 미래 모빌리티 비전 ..."
 2023.06.09 08:47,"현대자동차, '스파이더맨: 어크로스 더 유니버스'서 미래 모빌리티 비..."
 2023.06.09 08:47,"현대자동차, '스파이더맨: 어크로스 더 유니버스'서 미래 모빌리티 비..."
 2023.06.09 10:59,"현대차·기아, 1~4월 非중국 전기차 판매량 2위→4위 하락"
 2023.06.09 10:07,"1~4월 중국 제외 전기차 판매량…현대차·기아 4위, 작년 2위서 밀..."
 2023.06.09 10:24,"美언론 ""현대차 美조지아공장, 내년 10월부터 전기차 생산 개시"""
 2023.06.09 09:15,현대차 미국 전기차 전용 공장 완공 앞당겨져
 2023.06.09 10:22,"현대차證, ‘레오’ 이모티콘 쏜다···2만5000명 선착순"
 2023.06.09 09:23,"현대차, '2024 넥쏘' 출시…실구매가 3700만원"
