날짜,종목명,기사제목,감정상태
2023-06-12 18:24:00,KB금융,"캠코, 1조 PF 펀드 운용사에 KB·신한·이지스 등 5곳 선정",1
2023-06-12 16:12:00,KB금융,"KB금융, 초등생 돌봄 체계 구축에 앞장…올해부터 5년간 500억원 지...",0
2023-06-09 18:17:00,KB금융,9년 전 소방수로 재등판…KB를 다시 1위로,1
2023-06-09 18:02:00,KB금융,"KB금융, 日기업과 손잡고 요양사업 확대",1
2023-06-09 11:54:00,KB금융,"KB금융, 요양산업 나선다…日 '솜포홀딩스'와 협력",0
2023-06-09 09:32:00,KB금융,"KB금융, 일본 솜포홀딩스와 요양서비스 발전 업무협약",0
2023-06-09 09:17:00,KB금융,"KB금융, 日 솜포홀딩스와 요양서비스 '맞손'",0
2023-06-09 14:09:00,KB금융,"KB금융, 요양산업 본격 진출 위해 日 솜포홀딩스와 업무협약",1
2023-06-09 10:20:00,KB금융,"KB금융, 일본 솜포홀딩스와 손잡고 요양서비스 시장 ‘정조준’",1
2023-06-09 09:52:00,KB금융,"KB금융, 日솜포홀딩스와 손잡고 ""고품질 요양서비스 제공""",1
2023-06-09 09:27:00,KB금융,"KB금융, 일본 솜포홀딩스와 손잡고 요양서비스 제공 나서",1
2023-06-09 11:11:00,KB금융,KB금융-日 솜포홀딩스...요양 서비스 발전 MOU,1
2023-06-09 10:11:00,KB금융,"KB금융, 요양산업 본격 진출…일본 솜포홀딩스와 협력",1
2023-06-09 09:55:00,KB금융,"“고품질 요양 서비스 제공”…KB금융, 日 솜포홀딩스와 MOU",1
2023-06-09 09:48:00,KB금융,"KB금융, 日솜포홀딩스와 맞손…노인 요양사업 진출",1
2023-06-09 09:31:00,KB금융,"KB금융그룹, 솜포홀딩스와 요양서비스 산업 발전 MOU",1
2023-06-09 09:11:00,KB금융,"""고품질 요양서비스 제공""…KB금융, 日 최대 보험그룹 '솜포홀딩스'...",1
2023-06-07 18:13:00,KB금융,"윤종규 KB금융그룹 회장, 아태지역 기후리더십 발휘",0
2023-06-07 14:03:00,KB금융,"윤종규 KB금융 회장 ""아·태 지역 넷제로 위한 소통 강화""",0
2023-06-07 09:24:00,KB금융,‘기후 리더십’ 발휘하는 윤종규 KB금융 회장…GFANZ APAC 참...,0
2023-06-07 09:24:00,KB금융,"윤종규 KB금융 회장, GFANZ APAC 자문위원회 참석 ‘기후 리...",0
2023-06-07 13:40:00,KB금융,"윤종규 KB금융 회장, 탄소중립을 위한 글래스고 금융연합 자문회의 참석",0
2023-06-07 10:28:00,KB금융,"KB금융 윤종규 회장, GFANZ APAC 자문위원회 참석…‘기후 리...",0
2023-06-07 09:55:00,KB금융,"윤종규 KB금융 회장 ""아태 지역 넷제로 전환 위해 소통 강화""",0
2023-06-07 09:44:00,KB금융,"KB금융 윤종규 회장, GFANZ APAC 자문위원회 참석해 ‘기후 ...",0
2023-06-07 10:13:00,KB금융,윤종규 KB금융 회장 “아태 지역 ‘넷제로’ 전환위해 소통 강화”,0
2023-06-07 10:00:00,KB금융,싱가포르 날아간 윤종규 KB금융 회장 “아·태 탄소중립 달성 노력”,0
2023-06-07 09:41:00,KB금융,"윤종규 KB금융 회장, 아태지역 '넷제로' 행사서 '기후 리더십'",0
2023-06-07 09:38:00,KB금융,"윤종규 KB금융 회장 ""아태 지역 '넷제로' 전환 위해 소통 강화할 ...",0
2023-06-07 09:22:00,KB금융,"윤종규 KB금융 회장 ""아태 지역 '넷제로' 달성위한 소통 이끌겠다""",0
2023-06-07 07:33:00,KB금융,"LGD, 삼성전자에 대형 OLED 공급 초읽기…내년 흑자전환 가시화-K...",1
2023-06-07 06:01:00,KB금융,"KB·토스, '통신 시장 메기' 될까..막대한 비용이 '걸림돌'",2
2023-06-06 18:25:00,KB금융,"KB금융, 순익 41% 비은행 부문서… ‘주주환원율 33%’ 번 만큼 ...",1
2023-06-06 14:14:00,KB금융,"[포춘클럽 라운지]KB금융, 주주친화 '실력'이 다르다",0
2023-06-06 10:01:00,KB금융,제4이통사는 금융권?…KB국민은행·토스도 후보,0
2023-06-06 06:01:00,KB금융,인도네시아 KB부코핀은행 1조원 유상증자로 부활 날갯짓,0
2023-06-05 07:41:00,KB금융,"삼성전자, 매력 투자처 부각…외인 머니무브 지속-KB",1
2023-06-04 15:56:00,KB금융,"KB금융지주, 부동산·금융 다 담은 생활밀착 플랫폼",0
2023-06-04 07:03:00,KB금융,"KB금융, 반려동물과 행복한 삶 ‘2023 한국 반려동물 보고서’ 발간",0
2023-06-04 07:01:00,KB금융,"반려동물 양육 시 가장 중요한 것은?… KB금융, ‘2023 한국 반...",0
2023-06-01 05:30:00,KB금융,'젊은 국가' 인도네시아 넘보는 KB…1조 실탄 '디지털 리테일' DN...,0
2023-06-01 05:00:00,KB금융,[단독]키움·KB·신한 등 6개 증권사도 가세…CFD 신규거래 중단,2
2023-05-31 06:05:00,KB금융,'K-혁신금융' 품고 26년 만에 재도전…KB국민은행 '싱가포르 드림팀...,0
