날짜,종목명,기사제목,감정상태
2023-06-12 18:02:00,LG,"LG유플, AI로 승강기 관리…현대엘리베이터와 공동개발",1
2023-06-12 10:13:00,LG,"LG휘센, MZ세대 겨냥한 고객경험 캠페인 '내심' 진행",0
2023-06-12 10:00:00,LG,"LG 휘센, 새로운 고객경험 캠페인 ‘내심. 바람’",0
2023-06-12 10:00:00,LG,"LG 휘센, 새로운 고객경험 캠페인 진행",0
2023-06-12 10:00:00,LG,"LG 휘센, 고객 접점 확대 크러쉬 참여 뮤비 공개…동굴 콘서트도",0
2023-06-12 10:00:00,LG,"LG 휘센, 고객 경험 캠페인 '내심. 바람' 진행",0
2023-06-12 10:00:00,LG,"LG 휘센, 고객 경험 캠페인 '내심. 바람' 진행",0
2023-06-12 10:00:00,LG,"LG 휘센, 고객 경험 캠페인 '내심. 바람' 진행",0
2023-06-12 10:00:00,LG,"LG 휘센, 고객 경험 캠페인 '내심. 바람' 진행",0
2023-06-11 18:37:00,LG,LG '글로벌 전략센터' 신설…美 IRA·유럽 원자재법 대응,0
2023-06-11 18:27:00,LG,"LG, 글로벌 총괄 대응 조직 신설…수장에 윤창렬 前 국조실 차장 영...",0
2023-06-11 17:56:00,LG,"LG, 글로벌전략센터 신설…윤창렬 前 국조실 차장 영입",0
2023-06-11 17:29:00,LG,"LG, 글로벌전략 컨트롤타워 만든다..사령탑에 윤창렬 前국조 차장",0
2023-06-11 17:25:00,LG,"LG, 글로벌 총괄 조직 신설…수장에 윤창렬 前 국조실 차장",0
2023-06-11 17:22:00,LG,"LG, 윤창렬 前국조실 차장 영입",0
2023-06-11 16:51:00,LG,"LG, 공급망 이슈 총괄 글로벌 조직 만든다",0
2023-06-11 16:43:00,LG,"LG, 글로벌 '공급망 대응'조직 신설…윤창렬 前 국조실 차장 영입",0
2023-06-11 16:42:00,LG,"LG, 글로벌전략센터 신설…수장에 윤창렬 前 국조실 차장",0
2023-06-11 16:23:00,LG,"LG, 글로벌전략센터 신설…공급망 이슈 대응",0
2023-06-11 16:17:00,LG,"LG, 글로벌전략센터 신설… 윤창렬 前 국조실 차장 영입",0
2023-06-11 16:08:00,LG,"LG, 글로벌 대응 조직 출범…수장에 윤창렬 전 국무조정실 차장",0
2023-06-11 16:03:00,LG,"LG, 글로벌전략센터 신설…센터장에 윤창렬 前 국조실 차장 영입",0
2023-06-10 07:10:00,LG,[현장] 신발처럼 가전도 짝이 있다…성수동 'LG 페어링 하우스',0
2023-06-10 06:33:00,LG,"[영상]“가전은 LG” 동의하십니까?…주가 끌어올린 “車는 LG”, L...",1
2023-06-10 06:01:00,LG,삼성과 LG는 언제부터 라이벌?…'반세기 경쟁史' 톺아보기③ [노우리의...,0
2023-06-09 17:54:00,LG,"“삼성, LG 등과 긴밀한 협력 기대한다” [샘 올트먼 방한]",1
2023-06-09 09:02:00,LG,"LG전자, 2023년형 LG 휘센 오브제컬렉션 제습기 출시",1
2023-06-09 06:16:00,LG,애플 훈풍에 달아오르는 LG그룹 전자계열 '삼총사',0
2023-06-08 18:27:00,LG,청년 AI 전문가 교육 프로그램 'LG 에이머스' 3기 모집,0
2023-06-08 16:42:00,LG,"LG 스타일러 슈케어·슈케이스, ‘지코 한정판’ 내놨다",1
2023-06-08 11:46:00,LG,LG 자회사 ZKW ‘폴스타 3’에 헤드램프 공급,1
2023-06-08 10:50:00,LG,"연세대-LG유플, 메타버스 캠퍼스 구축...이르면 2학기부터 가능",0
2023-06-08 10:01:00,LG,LG 스타일러 슈케어·슈케이스 ‘지코 한정판’ 출시,1
2023-06-08 10:00:00,LG,LG 스타일러 슈케어·슈케이스 ‘지코 한정판’ 소장 가치 UP,0
2023-06-08 07:11:00,LG,"LG, ""AI 생태계 더 넓힌다""…AI 반도체 사업 '박차'",0
2023-06-07 18:23:00,LG,AI반도체 광폭행보 LG… 퓨리오사와 손잡았다,1
2023-06-07 17:25:00,LG,"LG, 퓨리오사AI와 함께 차세대 AI반도체 만든다",1
2023-06-07 16:17:00,LG,"LG, AI반도체 개발 가속도 ""AI 생태계 강화""",1
2023-06-07 16:07:00,LG,"구광모 점찍은 AI…LG, 국내외 스타트업과 AI 보폭 넓힌다",0
2023-06-07 10:27:00,LG,"초거대 AI '엑사원' 더 커진다…LG, 퓨리오사AI와 맞손",0
2023-06-07 15:09:00,LG,"LG AI연구원·퓨리오사AI, 차세대 AI 반도체 개발 ‘맞손’",1
2023-06-07 10:01:00,LG,"LG AI연구원, 퓨리오사AI와 '차세대 AI반도체' 개발 협력",1
2023-06-05 18:23:00,LG,"LG·롯데, 셀럽 직접 키운다…인플루언서 몸값 오르자 육성",0
2023-06-04 10:01:00,LG,삼성·LG·SK·현대차 주가…그룹주ETF 치열한 자존심 경쟁,0
2023-06-04 10:01:00,LG,"LG 올레드 오브제컬렉션, 프리미엄 가구 매장서 만난다",0
2023-06-02 17:59:00,LG,"""LG화학서 기회 잡아라""…일본 인재들에 '러브콜'",2
