날짜,종목명,기사제목,감정상태
2023-06-12 10:41:00,LG화학,"LG화학, 코스맥스와 친환경 화장품 용기 만든다",1
2023-06-12 08:22:00,LG화학,"IBK투자증권 ""LG화학, 양극재 생산 확대…목표가 93만원""",1
2023-06-12 07:48:00,LG화학,"LG화학, 양극재 외판 비중 40%까지 확대…수익성 개선-IBK",1
2023-06-12 07:47:00,LG화학,"LG화학, 양극재 생산능력 확대 전망…분리막 생산도 진출-IBK",1
2023-06-12 07:47:00,LG화학,"""LG화학, 양극재 외판 비중 확대 예상…2030년까지 40%""-IB...",1
2023-06-11 18:11:00,LG화학,"LG화학-코스맥스, 친환경 화장품 용기 개발 협력",1
2023-06-11 13:19:00,LG화학,"LG화학, 재활용 플라스틱을 화장품 용기로...코스맥스 맞손",0
2023-06-11 12:35:00,LG화학,"LG화학, 세계 1위 코스맥스와 친환경 화장품 용기 제작",1
2023-06-11 12:10:00,LG화학,"LG화학, 코스맥스와 친환경 화장품 용기 만든다",1
2023-06-11 11:38:00,LG화학,"LG화학, 코스맥스와 ‘재활용 플라스틱’ 화장품 용기 만든다",1
2023-06-11 11:20:00,LG화학,"LG화학, 코스맥스와 친환경 화장품 용기 만든다",1
2023-06-11 11:16:00,LG화학,"LG화학, 코스맥스와 맞손…친환경 화장품 용기 만든다",1
2023-06-11 11:15:00,LG화학,"""친환경 화장품 용기 개발 협력"" LG화학-코스맥스 맞손",1
2023-06-11 11:14:00,LG화학,"LG화학, 코스맥스와 친환경 화장품 용기 만든다",1
2023-06-11 11:08:00,LG화학,"LG화학, 코스맥스 화장품 용기에 친환경 소재 공급",1
2023-06-11 11:29:00,LG화학,"LG화학-코스맥스, 친환경 소재 제품 개발 MOU",1
2023-06-11 11:21:00,LG화학,"LG화학-코스맥스, 친환경 소재로 화장품 용기 만든다",1
2023-06-09 05:45:00,LG화학,"LG화학, 유럽 양극재 연산 6만톤 추가…2028년 목표 47만톤으로",1
2023-06-08 16:21:00,LG화학,"LG화학, 여수 앞바다에 탄소 흡수 해초 심는다",0
2023-06-08 11:23:00,LG화학,"LG화학, 여수 앞바다에 ‘탄소 흡수’ 해초 심는다",0
