날짜,종목명,기사제목,감정상태
2023-06-12 15:05:00,삼성SDI,삼성SDI가 반한 XR 기술…'버넥트 리모트'로 원격협업 나선다,1
2023-06-12 10:38:00,삼성SDI,"버넥트, 삼성SDI와 '버넥트 리모트' 구축 계약 체결",1
2023-06-12 09:47:00,삼성SDI,"버넥트, 삼성SDI와 ‘버넥트 리모트’ 구축 계약 체결",1
2023-06-12 09:25:00,삼성SDI,"버넥트, 삼성SDI와 ‘버넥트 리모트’ 구축 계약 체결",1
2023-06-12 11:41:00,삼성SDI,삼성SDI가 ‘전자’ 뛰어넘었다?...배터리 잘 만들더니 임금 인상률 ...,1
2023-06-05 16:54:00,삼성SDI,"LG엔솔·삼성SDI, 1~4월 두 자릿수 성장…中 공세에 점유율은 하락",2
2023-06-05 10:10:00,삼성SDI,"LG엔솔 2→3위, 삼성SDI 6→7위…中에 덜미 잡힌 K-배터리",1
2023-06-03 09:01:00,삼성SDI,최윤호 삼성SDI 사장[금주의 CEO],0
2023-06-01 18:07:00,삼성SDI,"최윤호 삼성SDI 사장 ""ESG가 핵심 경쟁력""",0
2023-06-01 18:04:00,삼성SDI,"삼성SDI, ESG경영 강화 위해 임원 워크숍 개최",0
2023-06-01 17:39:00,삼성SDI,"삼성SDI ""ESG가 미래 경쟁력"" 최윤호 사장 등 경영진 워크숍",0
2023-06-01 14:36:00,삼성SDI,"삼성SDI, 임원 대상 ESG 워크숍 개최",0
2023-06-01 11:09:00,삼성SDI,"삼성SDI 임원들, ESG 경영 열공모드",0
2023-06-01 10:47:00,삼성SDI,"삼성SDI, 최윤호 사장 등 임원 대상 ESG워크숍 개최",0
2023-06-01 09:20:00,삼성SDI,"최윤호 삼성SDI 사장 ""초격차 기술로 친환경 사회 구현""",1
2023-06-01 09:02:00,삼성SDI,"삼성SDI 임원 ESG 워크숍…최윤호 사장 ""경쟁력 키우는 핵심전략""",0
2023-06-01 08:47:00,삼성SDI,환경재단 이미경 삼성SDI 사외이사 제안에…임원들 모여 ESG 공부,0
2023-06-01 08:44:00,삼성SDI,"삼성SDI, ESG 워크숍 개최",0
2023-06-01 08:41:00,삼성SDI,"삼성SDI, ESG 워크숍…최윤호 사장 ""미래 위한 핵심 전략""",0
2023-06-01 08:38:00,삼성SDI,"""초격차 기술로 지속가능한 미래 구현""…삼성SDI, ESG 워크숍",1
2023-06-01 08:20:00,삼성SDI,"삼성SDI 임원들, ESG 경영 ‘열공’…“경쟁력 키우는 핵심 전략”",0
2023-06-01 09:02:00,삼성SDI,"삼성SDI, 임원 ESG 워크숍 개최…이미경 사외이사 제안",0
2023-05-26 10:21:00,삼성SDI,"소니드 ""리사이클리코, 백이현 전 삼성SDI 사장 자문위원 선임""",0
2023-05-25 10:30:00,삼성SDI,'삼성SDI의 환경 가치를 창출하는 배터리 기술은?',0
2023-05-25 10:30:00,삼성SDI,삼성SDI의 배터리 기술을 소개합니다,1
2023-05-24 14:06:00,삼성SDI,"[특징주]상신브레이크, 삼성SDI 美 배터리합작사 인근 부지 확보…공급...",1
2023-05-23 16:11:00,삼성SDI,"""테슬라·포드 고마워""…LG엔솔·삼성SDI 등 2차전지株 일제히 강세",1
2023-05-23 08:11:00,삼성SDI,"삼성SDI, AMPC 반영 시작…경쟁사 대비 성장세 뚜렷-SK",1
2023-05-17 12:40:00,삼성SDI,"[단독]'역대급 실적' 삼성SDI ""임금 4.1% 인상은 부족""…삼성전...",2
2023-05-16 13:40:00,삼성SDI,"[특징주]삼진엘앤디, 테슬라 4680 양산 불투명에 삼성SDI 부각…가...",2
2023-05-16 08:54:00,삼성SDI,"LG엔솔·삼성SDI·SK온, 모두 ‘LFP 배터리’에 눈 돌리는 이유",0
2023-05-12 07:45:00,삼성SDI,"[투자노트] 2차전지株 주도권, 삼성SDI에 바톤 터치",1
2023-05-10 16:48:00,삼성SDI,"울산시-삼성SDI, 이차전지 특화단지 지정 추진 협력",1
2023-05-10 15:19:00,삼성SDI,삼성SDI 기흥사업장에 등장한 캐릭터 조형물…정체는?,0
2023-05-08 21:46:00,삼성SDI,에코프로 부담? LG엔솔·삼성SDI 보라 [가파르게 오른 2차전지주],2
2023-05-05 08:00:00,삼성SDI,"LG엔솔 '자신감', 삼성SDI '확장', SK온 '반전'…배터리3사 ...",1
2023-04-28 09:00:00,삼성SDI,"DS증권 ""삼성SDI, GM과 JV설립 호재..전기차 수요 확대에 긍정...",1
2023-04-28 08:57:00,삼성SDI,"키움證 “삼성SDI, 우상향 이익 지속 예상…IRA로 생산 부담 줄어”",1
2023-04-28 08:39:00,삼성SDI,"""삼성SDI, 美 합작법인 설립 외 신규 수주 기대…목표가↑""-하이",1
2023-04-27 18:28:00,삼성SDI,"삼성SDI, GM과 美배터리 합작법인 설립",1
2023-04-27 15:56:00,삼성SDI,"삼성SDI ""美 진출 속도 내고 제품 포트폴리오도 늘린다""(종합)",1
2023-04-27 15:52:00,삼성SDI,"""차세대 배터리 2024년 양산"" 삼성SDI, GM과 美배터리 합작법...",1
2023-04-27 16:16:00,삼성SDI,"삼성SDI, 1분기 사상 최대 실적···매출 5.4조, 영업이익 375...",1
2023-04-27 15:26:00,삼성SDI,"삼성SDI, 1분기 영업익 3754억원…전년 比 16.5%↑",1
2023-04-27 10:43:00,삼성SDI,"삼성SDI, 1분기 영업이익 3754억원…전년대비 16.5%↑",1
2023-04-27 10:08:00,삼성SDI,"삼성SDI, 1분기 기준 역대 최대실적 기록…“수익성 지속 개선”",1
2023-04-27 13:58:00,삼성SDI,"삼성SDI ""GM 합작법인 2분기 내 설립""",1
2023-04-27 11:26:00,삼성SDI,"삼성SDI, GM 합작공장 ‘성장 모멘텀’ 확보",1
2023-04-27 11:17:00,삼성SDI,삼성SDI 1분기 기준 역대 최대실적…3분기 연속 5조 매출(종합2보...,1
2023-04-27 11:14:00,삼성SDI,"삼성SDI, 1분기 영업이익 3754억원…'역대 최대'",1
2023-04-27 10:44:00,삼성SDI,"삼성SDI, GM 합작공장 ‘성장 모멘텀’ 확보…유럽서 북미로 고객사...",1
2023-04-27 10:03:00,삼성SDI,"삼성SDI, 1분기 매출·영업익 역대 최대…‘美 투자·전고체’ 퀀텀점...",1
2023-04-27 13:38:00,삼성SDI,삼성SDI의 배터리 질주...美 공략 '속도' 라인업 '다변화'(종합),1
2023-04-27 13:37:00,삼성SDI,"삼성SDI, ‘P5’ 날개 달고 1분기 최대 실적",1
2023-04-27 12:13:00,삼성SDI,"삼성SDI, 3분기 연속 매출 5조 돌파 “배터리가 성장 견인”",1
2023-04-27 10:26:00,삼성SDI,"삼성SDI, 1분기 역대 최고실적…3분기 연속 매출 5조 돌파",1
2023-04-27 10:10:00,삼성SDI,삼성SDI 1분기 영업익 3천754억원…'1분기 기준 역대 최대'(종...,1
2023-04-27 10:04:00,삼성SDI,'배터리' 삼성SDI 1분기 '역대 최대' 실적…3분기 연속 5조 매...,1
2023-04-27 10:02:00,삼성SDI,"삼성SDI, 분기 최대 매출 달성...3연속 '5조' 넘겼다(종합)",1
2023-04-27 09:45:00,삼성SDI,"삼성SDI, 1분기 역대 최대 실적…3개 분기 연속 매출 5조 돌파",1
2023-04-27 11:45:00,삼성SDI,"'배터리' 삼성SDI 1분기 역대최대 실적…""북미 사업 본격화""(종합)",1
2023-04-27 09:41:00,삼성SDI,"삼성SDI,1분기 5.3조 매출·3754억 영업익…역대 최대",1
2023-04-27 11:01:00,삼성SDI,“삼성디스플레이 투자로 OLED 소재 수요 확대 예상”-삼성SDI 컨콜,1
2023-04-27 10:47:00,삼성SDI,"[IR]삼성SDI ""LFP 등 보급형 플랫폼, 양산 염두에 두고 개발 ...",1
2023-04-27 10:46:00,삼성SDI,“LFP 배터리 등 제품 포트폴리오 확대 계획”-삼성SDI 컨콜,1
