날짜,종목명,기사제목,감정상태
2023-06-12 17:38:00,셀트리온,[유가증권시장 공시] 셀트리온,0
2023-06-12 16:57:00,셀트리온,"셀트리온 ""소아 대상 램시마SC 美 임상 3상 계획 승인""",1
2023-06-12 16:07:00,셀트리온,"셀트리온 “美 FDA, 소아 대상 램시마SC 3상 계획 승인”",1
2023-06-12 15:40:00,셀트리온,"셀트리온 ""FDA, 소아 대상 램시마SC 미국 3상 계획 승인""",1
2023-06-12 15:09:00,셀트리온,"셀트리온 램시마SC, 미국 3상 시험계획 승인",1
2023-06-09 16:59:00,셀트리온,"셀트리온, 브랜드 사용료 인상…“감정평가법인 검토 따른 것”",0
2023-06-09 14:48:00,셀트리온,"셀트리온 ‘램시마SC’, 뉴질랜드 품목허가 획득",1
2023-06-09 09:23:00,셀트리온,"셀트리온 램시마SC, 뉴질랜드 품목허가 획득",1
2023-06-09 09:09:00,셀트리온,"셀트리온, 자가면역질환 치료제 램시마SC 뉴질랜드서 품목 허가",1
2023-06-09 14:48:00,셀트리온,"셀트리온 램시마SC, 뉴질랜드 품목허가 획득",1
2023-06-09 14:02:00,셀트리온,"셀트리온, 뉴질랜드서 램시마SC 품목허가 획득",1
2023-06-09 12:30:00,셀트리온,"셀트리온, 램시마SC 뉴질랜드 품목 허가 획득…시장 확대 박차",1
2023-06-09 11:09:00,셀트리온,"셀트리온 ""램시마SC 뉴질랜드 허가…오세아니아 입지 확대""",1
2023-06-09 09:58:00,셀트리온,"셀트리온 램시마SC, 뉴질랜드 품목허가 획득",1
2023-06-09 09:47:00,셀트리온,"셀트리온, 램시마SC 뉴질랜드 품목허가 획득",1
2023-06-09 09:43:00,셀트리온,"셀트리온 램시마SC, 뉴질랜드 품목허가 획득",1
2023-06-09 09:38:00,셀트리온,"셀트리온 램시마SC, 뉴질랜드 품목허가 획득",1
2023-06-09 09:01:00,셀트리온,"셀트리온 램시마SC, 뉴질랜드 품목허가 획득",1
2023-06-09 08:51:00,셀트리온,"셀트리온 ""램시마SC, 호주 이어 뉴질랜드서 품목허가 획득""",1
