날짜,종목명,기사제목,감정상태
2023-06-08 14:41:00,카카오뱅크,"카카오뱅크, 청소년 생활 플랫폼 ‘mini 생활’ 출시…오픈 이벤트 진...",1
2023-06-08 10:46:00,카카오뱅크,"""급식표·시간표 카카오뱅크에서""…청소년 플랫폼 이벤트",0
2023-06-08 10:25:00,카카오뱅크,"""급식표, 시간표도 카카오뱅크에서 확인하세요""",0
2023-06-08 09:11:00,카카오뱅크,"""급식표, 시간표도 카카오뱅크에서""…청소년 위한 'mini 생활' 오...",0
2023-06-08 09:54:00,카카오뱅크,"[게시판] 카카오뱅크, 청소년 전용 생활 플랫폼 '미니 생활' 이벤트",0
2023-06-07 09:16:00,카카오뱅크,"[단독] 카카오뱅크로 재미 본 텐센트, 토스에 1000억 투자 추진",0
2023-06-02 16:22:00,카카오뱅크,"카카오뱅크 ‘26주적금 with 카카오웹툰’, 출시 하루만에 10만좌 ...",1
2023-06-02 14:24:00,카카오뱅크,"카카오뱅크 '26주적금 with 카카오웹툰', 하루만에 10만좌",0
2023-06-02 13:54:00,카카오뱅크,카뱅 '카카오웹툰 26주 적금' 출시 하루 만에 10만좌 돌파,1
2023-06-02 13:45:00,카카오뱅크,카뱅 '26주적금 with 카카오웹툰' 하루 만에 10만좌 돌파,1
2023-06-02 13:32:00,카카오뱅크,"카카오뱅크, ‘26주 적금 with 카카오웹툰’ 출시 하루만에 10만...",1
2023-06-02 11:41:00,카카오뱅크,"카카오뱅크, 카카오웹툰 26주 적금 10만좌 돌파",1
2023-06-02 07:54:00,카카오뱅크,"한국투자증권, 카카오뱅크 발행어음 거래서비스 출시",1
2023-06-01 18:44:00,카카오뱅크,"카카오뱅크, ‘26주적금 with 카카오웹툰’ 출시…“저축하며 웹툰 본...",1
2023-06-01 13:37:00,카카오뱅크,"카카오엔터, 카카오뱅크와 ‘26주적금 with 카카오웹툰’ 출시",1
2023-06-01 11:20:00,카카오뱅크,"""적금하면 웹툰캐시 증정"" 카카오엔터x카카오뱅크 상품",0
