날짜,종목명,기사제목,감정상태
2023-06-12 18:12:00,포스코퓨처엠,"'수주 100兆' 포스코퓨처엠, 다음 스텝은 세계 점유율 ‘확대’",1
2023-06-12 15:11:00,포스코퓨처엠,"'배터리사 일감 풍년' 포스코퓨처엠, 양·음극재 수주 1년간 100조...",1
2023-06-12 15:50:00,포스코퓨처엠,"[데이터로 보는 증시]삼성전자·포스코퓨처엠, 기관·외국인 코스피 순매수...",0
2023-06-11 18:10:00,포스코퓨처엠,포스코퓨처엠 ‘차세대 이차전지’ 핵심원료 상용화 속도낸다,1
2023-06-11 14:47:00,포스코퓨처엠,포스코퓨처엠 '차세대 이차전지' 핵심원료 상업화 추진,1
2023-06-08 15:07:00,포스코퓨처엠,"포스코퓨처엠, 2050년까지 탄소중립 목표",1
2023-06-08 09:26:00,포스코퓨처엠,"포스코퓨처엠, 기업시민보고서 발간… ESG경영 성과 공개",0
2023-06-08 09:23:00,포스코퓨처엠,"포스코퓨처엠, 기업시민보고서 발간… ESG경영 전략·성과 공개",0
2023-06-08 09:18:00,포스코퓨처엠,"포스코퓨처엠, 2050 탄소중립 달성목표…태양광발전 확대",1
2023-06-08 09:02:00,포스코퓨처엠,"포스코퓨처엠, 기업시민보고서 발간…“ESG 경영 강화”",0
2023-06-08 11:47:00,포스코퓨처엠,"포스코퓨처엠, 기업시민보고서 발간",0
2023-06-08 11:16:00,포스코퓨처엠,"포스코퓨처엠, 기업시민보고서 발간…ESG경영 성과 공개",0
2023-06-08 09:43:00,포스코퓨처엠,"포스코퓨처엠, 2050년 탄소중립 달성한다…기업시민보고서 발간",1
2023-06-08 09:09:00,포스코퓨처엠,"포스코퓨처엠, ‘기업시민보고서’ 발간…ESG 경영 전략·성과 담아",0
2023-06-07 17:32:00,포스코퓨처엠,"""포스코퓨처엠, 양극재 업체 최선호주…음극재도 성장 기대"" [투자360...",1
2023-06-07 14:55:00,포스코퓨처엠,"[주가동향] 포스코퓨처엠, 83조 수주 '대박'... 리튬가격 반등에 ...",1
2023-06-07 11:17:00,포스코퓨처엠,"“포스코퓨처엠, 양극재 업체 중 가장 높은 경쟁력”...현대차증권 매...",1
2023-06-07 08:46:00,포스코퓨처엠,"현대차증권 ""포스코퓨처엠, 2분기 수익성 개선…업종 최선호주""",1
2023-06-07 08:39:00,포스코퓨처엠,"""포스코퓨처엠, 2차전지 소재 업체 '톱픽'…경쟁력 갖춰""-현대차",1
2023-06-07 08:10:00,포스코퓨처엠,"포스코퓨처엠, 2차전지 소재 업체 최선호주…성장 기대-현대차",1
2023-06-07 07:41:00,포스코퓨처엠,"포스코퓨처엠, 중장기 시장 지배력 확대…고밸류 정당화-현대차",1
2023-06-07 06:27:00,포스코퓨처엠,"잭팟 3방에 '83조' 일감…포스코퓨처엠 양극재 ""더 큰 게 남았다""",1
2023-06-05 08:48:00,포스코퓨처엠,"[클릭 e종목]“포스코퓨처엠, 캐나다 장기공급 추가 계약…양극재 협상력...",1
2023-06-05 07:31:00,포스코퓨처엠,"포스코퓨처엠, 캐나다 장기공급 추가 계약…양극재 높은 협상력 입증-삼...",1
2023-06-02 18:31:00,포스코퓨처엠,"포스코퓨처엠, 美에 13조 양극재 공급",1
2023-06-02 18:01:00,포스코퓨처엠,"포스코퓨처엠, 북미에 1조원 양극재·전구체 공장",1
2023-06-02 17:12:00,포스코퓨처엠,"포스코퓨처엠, 글로벌 배터리 소재 강자 도약한다",1
2023-06-02 16:37:00,포스코퓨처엠,"GM과 손 잡은 지 1년 만에…포스코퓨처엠, 북미에 1조 또 투자",1
2023-06-02 15:54:00,포스코퓨처엠,"포스코퓨처엠, 북미 양극재·전구체 생산에 1조 추가 투자",1
2023-06-02 14:07:00,포스코퓨처엠,"포스코퓨처엠, GM과 합작 1년만 1兆 투자..加양극재 생산 2배↑",1
2023-06-02 13:39:00,포스코퓨처엠,"포스코퓨처엠, GM 합작사 '얼티엄캠'에 1조 추가 투자…""양극재 증...",1
2023-06-02 13:36:00,포스코퓨처엠,"포스코퓨처엠, GM 손잡고 북미 배터리소재 1조원 추가 투자",1
2023-06-02 13:29:00,포스코퓨처엠,"포스코퓨처엠-GM, 북미 양극재·전구체 투자 확대",1
2023-06-02 13:22:00,포스코퓨처엠,"포스코퓨처엠, GM과 캐나다 공장 투자 확대",1
