날짜,종목명,기사제목,감정상태
2023-06-09 18:19:00,하나금융지주,"아동 돌봄 불균형 해소…하나금융, 3년간 돌봄 기관 400개 지원",0
2023-06-09 12:40:00,하나금융지주,"하나금융, 3년간 지역 돌봄기관 400곳 지원…보육 불균형 해소",0
2023-06-09 11:21:00,하나금융지주,"상의, 롯데·하나금융과 돌봄 인프라 개선 활동",0
2023-06-09 11:10:00,하나금융지주,"하나금융, 전국 400여개 돌봄기관 지원",0
2023-06-09 10:31:00,하나금융지주,"아동 돌봄 불균형 해소…하나금융, 3년간 지역 돌봄 기관 400개 지...",0
2023-06-09 10:13:00,하나금융지주,"대한상의, 롯데·하나금융과 맞손…“아이 낳고 싶은 환경 만들자”",0
2023-06-09 09:50:00,하나금융지주,"하나금융, 3년간 지역 돌봄기관 400곳 지원…""교육격차 해소""",0
2023-06-09 09:01:00,하나금융지주,"아동돌봄 불균형 해소…하나금융, 400여개 돌봄기관 지원",0
2023-06-09 08:59:00,하나금융지주,"하나금융, 전국 400여개 돌봄기관 지원…“지역 교육환경 개선 위해”",0
2023-06-09 08:58:00,하나금융지주,"하나금융, 3년간 지역 돌봄기관 400곳 지원한다",0
2023-06-09 08:51:00,하나금융지주,"하나금융그룹, 지역 돌봄 기관 교육환경 개선 사업 진행",0
2023-06-09 14:18:00,하나금융지주,"하나금융, ‘아이 키우기 좋은 사회 만들기’ 앞장선다…지역 돌봄기관 교...",0
2023-06-09 11:41:00,하나금융지주,"하나금융, 3년간 400여 돌봄기관 지원…영유아 교육콘텐츠 개발",0
2023-06-09 10:14:00,하나금융지주,"하나금융, 돌봄인프라에 통 큰 투자..""아이 키우기 좋은 사회만들기""...",0
2023-06-08 18:02:00,하나금융지주,"""아이 낳고 싶은 사회 만들자""…롯데·하나금융 27억 쏜다",0
2023-06-08 16:35:00,하나금융지주,"""아이 낳고 싶은 사회 만들자""…롯데·하나금융 손잡다(종합)",0
2023-06-08 16:26:00,하나금융지주,"롯데·하나금융그룹, 대한상의와 손잡고 저출생 해결에 27억 지원",0
2023-06-08 15:35:00,하나금융지주,"“놀이터에 금융교육”… 롯데·하나금융, 돌봄 인프라에 25억 지원",0
2023-06-08 14:46:00,하나금융지주,"대한상의, 롯데·하나금융 손잡고 지역 육아문제 해결한다",0
2023-06-08 14:16:00,하나금융지주,"""아이 낳고 싶은 사회 만들자""…롯데·하나금융 '통 큰' 기부",0
2023-06-08 13:30:00,하나금융지주,"롯데·하나금융, 여수 지역아동 돌봄 인프라 확충에 27억 지원",0
2023-06-08 14:53:00,하나금융지주,"하나금융, 생물다양성 관련 ESG 이니셔티브 참여 확대",0
2023-06-08 10:46:00,하나금융지주,"하나금융, 생물다양성 이니셔티브 TNFD·PBAF 참여",0
2023-06-08 09:50:00,하나금융지주,"하나금융, 생물다양성 글로벌 이니셔티브 참여 확대",0
2023-06-08 09:06:00,하나금융지주,"하나금융, 지속가능 금융 발전 위한 생물다양성 이니셔티브 참여 확대",0
2023-06-08 08:57:00,하나금융지주,"하나금융, ‘생물다양성’에 주목한다…ESG 협의체 TNFD·PBAF ...",0
2023-06-08 14:15:00,하나금융지주,"하나금융, 생물 다양성 관련 글로벌 이니셔티브 TNFD·PBAF 가입",0
2023-06-08 09:35:00,하나금융지주,"생물다양성에 진심인 하나금융, 글로벌 환경 협의체 가입",0
2023-06-08 09:28:00,하나금융지주,"하나금융, 지속금융 발전 생물다양성 협의체 가입",0
2023-06-08 11:23:00,하나금융지주,"하나금융, 지속가능금융 강화…ESG·생물다양성 협의체 가입",0
2023-06-07 18:07:00,하나금융지주,"하나은행, 병원 퇴직연금 간편 입금",0
2023-06-07 10:01:00,하나금융지주,"하나은행, 병·의원 사업자 위한 퇴직연금 프로세스 개선",0
2023-06-07 09:34:00,하나금융지주,"하나은행, 병·의원 사업자 대상 퇴직연금 프로세스 개선",0
2023-06-07 09:51:00,하나금융지주,"하나은행, 병의원 사업자 대상 '퇴직연금 간편 입금 서비스'",0
2023-06-07 09:36:00,하나금융지주,"하나은행, 병의원 사업자 퇴직연금 프로세스 개선",0
2023-06-07 09:08:00,하나금융지주,"하나은행, 병의원 사업자 대상 퇴직연금 프로세스 개선",0
2023-06-06 18:21:00,하나금융지주,"하나금융, 일본서 KPGA 대회 연다",0
2023-06-06 13:20:00,하나금융지주,"하나금융, 일본서 '하나은행 인비테이셔널' 개최..亞대표 대회로 발돋...",0
2023-06-06 11:02:00,하나금융지주,"하나금융, 15일 일본에서 KPGA 대회 개최",0
2023-06-06 13:39:00,하나금융지주,"하나금융, 일본서 KPGA '하나은행 인비테이셔널' 개최",0
2023-06-06 10:18:00,하나금융지주,"일본서 열리는 KPGA 하나은행 인비테이셔널, 한·일 프로골퍼 총출동",0
2023-06-05 13:43:00,하나금융지주,"하나은행, 대학생 서포터즈 1기 모집…수료시 채용 우대",0
2023-06-05 11:44:00,하나금융지주,"하나은행, 대학생 서포터즈 1기 모집…“Z세대 시각, 청년세대와 소통...",0
2023-06-05 11:48:00,하나금융지주,"""채용시 서류전형 면제""…하나은행, 대학생 서포터즈 1기 모집",0
2023-06-04 18:33:00,하나금융지주,하나금융 '스마트 홍보대사' 발대식,0
2023-06-04 10:37:00,하나금융지주,"하나금융, '제17기 스마트 홍보대사' 발대식 개최",0
2023-06-04 10:01:00,하나금융지주,"하나금융그룹, ‘제17기 스마트 홍보대사’ 발대식 개최",0
2023-06-04 08:26:00,하나금융지주,"하나금융, ‘제17기 대학생 홍보대사’ 발대식…“젊은 에너지로 ESG...",0
2023-06-04 08:02:00,하나금융지주,"하나은행, ‘제17기 스마트 홍보대사’ 발대식 열어",0
2023-06-04 08:01:00,하나금융지주,"하나금융, 대학생 홍보대사와 ESG경영 '앞장'",0
2023-06-04 18:03:00,하나금융지주,"하나금융, 대학생 홍보대사 활동 시작",1
2023-06-04 11:03:00,하나금융지주,"하나금융그룹, 17기 스마트 홍보대사 발대식…""ESG 경영 일환""",0
2023-06-04 08:02:00,하나금융지주,"하나금융, 제17기 대학생 홍보대사 50명 발대식",0
2023-06-04 08:01:00,하나금융지주,"하나금융, 17기 대학생 홍보대사 활동 시작",1
2023-06-04 08:01:00,하나금융지주,하나금융 '대학생 스마트 홍보대사' 발대식,0
2023-06-04 08:00:00,하나금융지주,"하나금융, 17기 스마트홍보대사 ESG확산 힘보탠다",0
2023-06-04 15:56:00,하나금융지주,"하나금융지주, AI가 자산관리 … PB명가 명성 잇는다",0
