날짜,종목명,기사제목,감정상태
2023-06-09 08:56:00,현대모비스,"현대모비스, 성과금 노사 교섭 결렬…이견만 확인",2
2023-06-08 18:25:00,현대모비스,"R&D 3조 쏟은 현대모비스, SW모빌리티기업 변신",0
2023-06-08 16:39:00,현대모비스,"현대모비스, 3년 연속 R&D에 1조원 이상 투자",1
2023-06-08 15:10:00,현대모비스,"현대모비스 ""3년 연속 매해 R&D 투자 1조원 넘겼다""",1
2023-06-08 15:05:00,현대모비스,"현대모비스, 3년 연속 R&D 투자 1조원 돌파…""SW 전환 속도""",1
2023-06-08 11:09:00,현대모비스,"현대모비스, 3년 연속 연구개발비 1조원 넘겼다",1
2023-06-08 11:01:00,현대모비스,"현대모비스, 3년 연속 연구개발비 1조원 이상..특허출원 견인",1
2023-06-08 11:00:00,현대모비스,"2년만에 수주 두배 이상…현대모비스 ""연구개발 통해 지속가능성장""",1
2023-06-08 11:51:00,현대모비스,"현대모비스, 3년 연속 R&D 1조원 넘겼다",1
2023-06-08 11:03:00,현대모비스,"현대모비스, 지속가능보고서 2023 발간…3년 연속 R&D 1조원 넘...",1
2023-06-08 11:00:00,현대모비스,"""3년 연속 R&D에 1조 이상 투자"" 현대모비스 2023 지속가능보...",1
2023-06-08 11:00:00,현대모비스,"현대모비스 ""2020년부터 3년 연속 R&D에 1조원 이상 투자""",1
2023-06-05 12:43:00,현대모비스,"충주시, 현대모비스와 투자협약…동충주산단에 배터리팩 공장 신설",0
2023-06-05 11:46:00,현대모비스,"현대모비스, 충주에 공장 신설…5천억원 투자",1
2023-06-03 05:51:00,현대모비스,"현대모비스, 800억원 투자한 인도네시아에 배터리 시스템 공장 착공",1
2023-06-02 08:23:00,현대모비스,"한투증권 ""현대모비스, 2025년 전동화부품 흑자 전환할 것""",1
2023-06-01 18:12:00,현대모비스,지속가능성 인정 받은 현대모비스 녹색 채권…사후관리 모범사례,1
2023-06-01 18:02:00,현대모비스,"현대모비스, 인도네시아 배터리시스템 공장 착공",1
2023-06-01 16:34:00,현대모비스,"현대차·모비스, 인도네시아에 관심 갖는 이유",0
2023-06-01 11:37:00,현대모비스,현대모비스 ‘800억 투자’ 인니 배터리시스템 신공장 첫삽,1
2023-06-01 09:42:00,현대모비스,"현대모비스, 전기차 시장 커지는 인니에 배터리 시스템 공장 착공",1
2023-06-01 09:41:00,현대모비스,"현대모비스, 인니 배터리시스템 신공장 첫삽…""전동화 생태계 거점""",1
2023-06-01 08:39:00,현대모비스,"현대모비스, 인도네시아에 '배터리 시스템' 공장 착공",1
2023-06-01 08:38:00,현대모비스,"현대모비스, 인니 배터리시스템 신공장 착공",1
2023-06-01 08:17:00,현대모비스,"현대모비스, ‘800억 투자’ 인니 배터리시스템 신공장 첫삽",1
2023-06-01 13:57:00,현대모비스,"현대모비스, 인니에 배터리 시스템 공장 짓는다",1
2023-06-01 08:27:00,현대모비스,"현대모비스, 인도네시아에 배터리시스템 공장 착공",1
2023-05-31 14:41:00,현대모비스,"현대모비스, 기술 혁신 '가속페달'",1
2023-05-30 17:08:00,현대모비스,"현대모비스, 경기도와 평택 자동차 모듈 공장 조성 투자 협약 체결",1
2023-05-30 17:03:00,현대모비스,"현대모비스, 평택에 자동차 모듈공장 조성…경기도와 투자 협약",1
2023-05-29 16:27:00,현대모비스,"현대모비스, 특허 300개 공유…신기술 개발 지원",1
2023-05-25 16:22:00,현대모비스,"‘밤길에 횡단보도 그려주는 착한차가 온다’···모비스, 차세대 헤드램프...",0
2023-05-25 12:18:00,현대모비스,"""먼저 가세요"" 횡단보도 띄워준다…현대모비스 '획기적 기술'",0
2023-05-25 11:14:00,현대모비스,"현대모비스, 차세대 헤드램프 'HD 라이팅 시스템' 개발",1
2023-05-25 11:00:00,현대모비스,헤드업디스플레이? 이제는 길바닥에도 띄운다…현대모비스 개발,0
2023-05-25 11:02:00,현대모비스,"빛으로 횡단보도 만든다…현대모비스, ‘소통하는 헤드램프’ 개발",0
2023-05-25 11:01:00,현대모비스,"‘도로 위에 주행정보 실시간 뜬다’ 현대모비스, 신기술 개발",0
2023-05-25 11:01:00,현대모비스,"현대모비스, 차세대 헤드램프 개발..""야간 안전사고 저감 기대""",1
2023-05-25 11:01:00,현대모비스,"""주행정보가 노면에""…현대모비스, 차세대 헤드램프 개발",1
2023-05-25 11:00:00,현대모비스,헤드램프만 켜도 주행 정보가...현대모비스 HD 라이팅 시스템 개발,1
2023-05-24 11:29:00,현대모비스,현대모비스 해외질주 이면엔 ‘기술 신무기’,1
2023-05-22 18:23:00,현대모비스,세계가 주목하는 현대모비스의 ‘신기술’,1
2023-05-22 15:59:00,현대모비스,글로벌 시장 홀린 현대모비스…신기술 개발 '가속페달',1
2023-05-22 17:15:00,현대모비스,"현대모비스, 차세대 자동차바퀴 기술 'e-코너시스템' 개발",1
2023-05-18 15:49:00,현대모비스,"[데이터로 보는 증시]현대모비스·삼성전자, 기관·외국인 코스피 순매수 ...",0
2023-05-18 09:02:00,현대모비스,"""미래차 생태계 구축""…'동반 성장 사다리' 만드는 현대모비스",0
2023-05-18 08:38:00,현대모비스,"유진證 ""현대모비스, 영업가치 회복이 주가 상승의 키…목표가 14% 하...",1
2023-05-17 18:47:00,현대모비스,"‘졸음운전 방지’ 차량용 헬스케어 신기술… 현대모비스,아동 심리상담에 ...",0
2023-05-17 11:28:00,현대모비스,"현대모비스, 차량용 뇌파시스템 아동 심리상담 지원",0
2023-05-17 11:07:00,현대모비스,"현대모비스, 차량용 뇌파시스템으로 아동 심리상담 지원",1
2023-05-17 11:07:00,현대모비스,현대모비스 '차량용 뇌파기술' 아동보호기관 심리상담 활용,0
2023-05-17 11:02:00,현대모비스,"“차량용 뇌파 시스템 활용” 현대모비스, 아동상담 지원",1
2023-05-17 11:01:00,현대모비스,운전자 깨우는 현대모비스 뇌파 기술…아동 심리상담에 응용된다,0
2023-05-17 11:00:00,현대모비스,"현대모비스, 차량용 뇌파시스템으로 아동 심리상담 지원",1
2023-05-17 15:13:00,현대모비스,"현대모비스, 車 뇌파 시스템으로 아동 심리상담 지원",1
2023-05-17 11:02:00,현대모비스,"현대모비스, 차량용 뇌파 시스템으로 아동 심리상담 지원한다",0
2023-05-17 11:01:00,현대모비스,"현대모비스, 차량용 뇌파 시스템 활용해 아동 심리상담 지원",0
2023-05-16 08:52:00,현대모비스,"오비고, 현대모비스 등과 '차량용 앱 서비스 공모전' 개최",0
2023-05-15 16:41:00,현대모비스,"현대모비스, 1분기 영업익 4181억원…전년대비 8.1% 증가",1
2023-05-12 13:52:00,현대모비스,"지식재산 출원 5년새 4배 '쑥'…현대모비스, 대통령 표창 수상",1
2023-05-12 11:32:00,현대모비스,"현대모비스, 지식재산 출원 5년새 4배 증가…‘발명의 날’ 대통령 표...",1
2023-05-12 11:32:00,현대모비스,"현대모비스, 특허 출원 4배 증가 ‘대통령 표창’",1
2023-05-12 11:31:00,현대모비스,"현대모비스, 발명의 날 대통령 표창..지식재산 출원 5년 새 4배 늘...",1
2023-05-12 11:31:00,현대모비스,"""특허권 확보 총력"" 현대모비스 IP출원 5년새 4배 늘었다",1
2023-05-12 11:31:00,현대모비스,"“발명의 날 대통령 표창” 현대모비스, 특허출원 5년새 4배↑",1
2023-05-12 11:30:00,현대모비스,"현대모비스, 발명의 날 '대통령 표창상' …""발명가 직원들 적극 지원...",1
2023-05-12 11:30:00,현대모비스,"현대모비스, 지식재산 출원 4년새 4배↑…대통령 표창",1
2023-05-11 10:12:00,현대모비스,현대모비스 역대급 해외 수주…'영업 혁신'에서 출발했다,1
2023-05-08 18:18:00,현대모비스,현대차 못지 않게 잘 나가는 모비스·글로비스,1
2023-05-04 18:54:00,현대모비스,"‘격려금’ 두고 갈등하는 현대모비스 노사…사측, 특별 휴가로 노조 달래...",2
