Date,Emotion
2023-06-12 18:24:00,1
2023-06-12 16:12:00,0
2023-06-09 18:17:00,1
2023-06-09 18:02:00,1
2023-06-09 11:54:00,0
2023-06-09 09:32:00,0
2023-06-09 09:17:00,0
2023-06-09 14:09:00,1
2023-06-09 10:20:00,1
2023-06-09 09:52:00,1
2023-06-09 09:27:00,1
2023-06-09 11:11:00,1
2023-06-09 10:11:00,1
2023-06-09 09:55:00,1
2023-06-09 09:48:00,1
2023-06-09 09:31:00,1
2023-06-09 09:11:00,1
2023-06-07 18:13:00,0
2023-06-07 14:03:00,0
2023-06-07 09:24:00,0
2023-06-07 09:24:00,0
2023-06-07 13:40:00,0
2023-06-07 10:28:00,0
2023-06-07 09:55:00,0
2023-06-07 09:44:00,0
2023-06-07 10:13:00,0
2023-06-07 10:00:00,0
2023-06-07 09:41:00,0
2023-06-07 09:38:00,0
2023-06-07 09:22:00,0
2023-06-07 07:33:00,1
2023-06-07 06:01:00,2
2023-06-06 18:25:00,1
2023-06-06 14:14:00,0
2023-06-06 10:01:00,0
2023-06-06 06:01:00,0
2023-06-05 07:41:00,1
2023-06-04 15:56:00,0
2023-06-04 07:03:00,0
2023-06-04 07:01:00,0
2023-06-01 05:30:00,0
2023-06-01 05:00:00,2
2023-05-31 06:05:00,0
2023-05-29 17:54:00,0
2023-05-29 14:13:00,1
2023-05-28 17:43:00,0
2023-05-26 09:29:00,0
2023-05-25 14:15:00,1
2023-05-24 15:57:00,0
2023-05-24 10:08:00,0
2023-05-24 08:23:00,0
2023-05-24 07:43:00,1
2023-05-24 07:34:00,1
2023-05-23 18:12:00,1
2023-05-23 15:07:00,0
2023-05-23 14:42:00,0
2023-05-23 14:35:00,0
2023-05-23 14:17:00,0
2023-05-23 13:34:00,0
2023-05-23 13:10:00,0
2023-05-22 16:18:00,0
2023-05-22 11:01:00,0
2023-05-22 11:01:00,0
2023-05-22 11:00:00,0
2023-05-22 11:00:00,0
2023-05-21 18:06:00,2
2023-05-19 18:12:00,1
2023-05-19 10:33:00,0
2023-05-19 10:22:00,0
2023-05-19 10:18:00,0
2023-05-19 09:25:00,0
2023-05-18 18:48:00,0
2023-05-18 14:36:00,0
2023-05-18 13:30:00,0
2023-05-18 13:01:00,0
2023-05-18 12:09:00,0
2023-05-18 10:51:00,0
2023-05-18 10:26:00,0
2023-05-18 14:51:00,0
2023-05-18 11:25:00,0
2023-05-18 10:35:00,0
2023-05-18 08:23:00,1
2023-05-18 08:13:00,1
2023-05-18 07:40:00,2
2023-05-18 06:01:00,0
2023-05-17 16:13:00,0
2023-05-17 14:46:00,0
2023-05-17 07:41:00,1
2023-05-17 07:29:00,1
2023-05-16 06:02:00,0
2023-05-15 10:51:00,1
2023-05-12 08:31:00,1
2023-05-12 08:16:00,1
2023-05-12 07:28:00,1
2023-05-11 21:47:00,0
2023-05-11 16:52:00,1
2023-05-10 18:49:00,0
2023-05-10 14:17:00,0
2023-05-10 09:43:00,1
2023-05-10 09:36:00,0
2023-05-10 09:13:00,1
2023-05-10 08:49:00,1
2023-05-10 15:07:00,0
2023-05-10 11:20:00,1
2023-05-10 10:45:00,1
2023-05-10 10:19:00,1
2023-05-10 10:15:00,1
2023-05-10 09:39:00,1
2023-05-10 09:29:00,0
2023-05-10 11:45:00,1
2023-05-10 08:16:00,1
2023-05-09 17:33:00,0
2023-05-09 14:32:00,0
2023-05-09 14:21:00,0
2023-05-09 13:38:00,1
2023-05-09 17:10:00,0
2023-05-09 15:26:00,0
2023-05-09 14:06:00,0
2023-05-08 18:18:00,0
2023-05-08 18:04:00,0
2023-05-08 17:39:00,0
2023-05-08 16:12:00,0
2023-05-08 15:12:00,0
2023-05-08 13:42:00,0
2023-05-08 11:37:00,0
2023-05-08 16:11:00,1
2023-05-08 14:49:00,0
2023-05-08 14:32:00,0
2023-05-08 11:39:00,0
2023-05-08 11:29:00,0
2023-05-08 08:43:00,0
2023-05-07 13:31:00,1
2023-05-03 17:18:00,0
2023-05-03 13:35:00,0
2023-05-03 14:35:00,0
2023-05-03 10:40:00,1
2023-05-03 10:34:00,1
2023-05-03 12:19:00,0
2023-05-03 11:29:00,0
2023-05-03 11:14:00,0
2023-05-03 10:34:00,0
2023-05-03 10:30:00,0
2023-05-03 09:46:00,1
