Date,Emotion
2023-06-12 10:41:00,1
2023-06-12 08:22:00,1
2023-06-12 07:48:00,1
2023-06-12 07:47:00,1
2023-06-12 07:47:00,1
2023-06-11 18:11:00,1
2023-06-11 13:19:00,0
2023-06-11 12:35:00,1
2023-06-11 12:10:00,1
2023-06-11 11:38:00,1
2023-06-11 11:20:00,1
2023-06-11 11:16:00,1
2023-06-11 11:15:00,1
2023-06-11 11:14:00,1
2023-06-11 11:08:00,1
2023-06-11 11:29:00,1
2023-06-11 11:21:00,1
2023-06-09 05:45:00,1
2023-06-08 16:21:00,0
2023-06-08 11:23:00,0
2023-06-08 09:40:00,0
2023-06-08 09:18:00,0
2023-06-08 08:39:00,0
2023-06-08 08:02:00,0
2023-06-08 08:02:00,0
2023-06-08 15:39:00,1
2023-06-08 08:57:00,1
2023-06-08 08:42:00,1
2023-06-08 08:00:00,1
2023-06-07 08:51:00,1
2023-06-06 10:52:00,1
2023-06-06 10:21:00,1
2023-06-06 06:05:00,1
2023-06-05 17:57:00,0
2023-06-02 15:48:00,1
2023-06-02 15:08:00,0
2023-06-02 11:55:00,0
2023-06-02 11:07:00,0
2023-06-02 08:38:00,0
2023-06-02 08:18:00,0
2023-06-02 11:23:00,1
2023-06-02 08:33:00,0
2023-06-02 08:22:00,0
2023-06-02 11:01:00,0
2023-06-02 09:34:00,0
2023-06-02 08:40:00,0
2023-05-31 19:26:00,1
2023-05-31 18:24:00,1
2023-05-31 10:16:00,1
2023-05-31 09:29:00,1
2023-05-31 09:19:00,1
2023-05-31 08:45:00,1
2023-05-31 18:00:00,1
2023-05-31 17:47:00,1
2023-05-31 15:39:00,1
2023-05-31 11:25:00,1
2023-05-31 10:54:00,1
2023-05-31 08:13:00,1
2023-05-31 08:12:00,1
2023-05-31 08:11:00,1
2023-05-31 15:41:00,1
2023-05-31 14:48:00,1
2023-05-31 10:14:00,1
2023-05-31 09:14:00,1
2023-05-31 08:48:00,1
2023-05-30 14:38:00,1
2023-05-29 17:46:00,0
2023-05-28 17:45:00,2
2023-05-27 06:01:00,1
2023-05-25 09:51:00,0
2023-05-25 09:03:00,1
2023-05-25 09:01:00,1
2023-05-25 08:52:00,0
2023-05-24 18:35:00,0
2023-05-22 16:35:00,0
2023-05-20 09:01:00,0
2023-05-18 18:46:00,1
2023-05-18 10:05:00,1
2023-05-18 08:51:00,1
2023-05-18 08:49:00,1
2023-05-18 08:44:00,1
2023-05-18 08:32:00,1
2023-05-18 16:40:00,2
2023-05-18 14:59:00,1
2023-05-18 14:03:00,1
