Date,Emotion
2023-06-12 18:10:00,1
2023-06-12 15:51:00,1
2023-06-12 17:56:00,0
2023-06-12 15:30:00,0
2023-06-12 11:10:00,0
2023-06-12 10:49:00,0
2023-06-12 08:32:00,0
2023-06-09 11:21:00,0
2023-06-08 18:28:00,0
2023-06-08 10:43:00,0
2023-06-08 17:53:00,0
2023-06-08 17:33:00,1
2023-06-08 16:26:00,0
2023-06-08 15:38:00,1
2023-06-08 14:51:00,1
2023-06-08 09:52:00,0
2023-06-08 09:49:00,1
2023-06-08 09:24:00,0
2023-06-08 09:17:00,0
2023-06-08 09:07:00,0
2023-06-08 10:09:00,0
2023-06-08 09:23:00,1
2023-06-08 09:12:00,1
2023-06-08 08:55:00,0
2023-06-07 11:44:00,0
2023-06-07 10:30:00,1
2023-06-07 09:44:00,0
2023-06-07 08:46:00,1
2023-06-02 10:48:00,1
2023-06-01 16:15:00,1
2023-06-01 14:58:00,2
2023-06-01 14:08:00,2
2023-06-01 06:02:00,2
2023-05-31 11:16:00,0
2023-05-31 09:47:00,0
2023-05-30 11:15:00,0
2023-05-30 09:38:00,0
2023-05-23 09:23:00,0
2023-05-23 09:04:00,0
2023-05-19 11:09:00,1
2023-05-19 09:27:00,0
2023-05-19 08:53:00,0
2023-05-19 08:42:00,0
2023-05-18 18:04:00,1
2023-05-18 14:47:00,1
2023-05-18 10:34:00,1
2023-05-18 17:28:00,1
2023-05-18 12:16:00,1
2023-05-18 10:27:00,1
2023-05-18 10:27:00,1
2023-05-18 10:00:00,1
2023-05-18 09:38:00,1
2023-05-18 16:50:00,1
2023-05-18 13:14:00,1
2023-05-18 10:57:00,1
2023-05-18 09:45:00,1
2023-05-18 16:42:00,2
2023-05-18 11:35:00,0
2023-05-18 06:45:00,0
2023-05-17 16:14:00,1
2023-05-17 09:52:00,1
2023-05-17 09:46:00,0
2023-05-16 15:21:00,0
2023-05-16 10:39:00,0
2023-05-16 09:34:00,0
2023-05-16 09:24:00,0
2023-05-16 09:16:00,1
2023-05-16 08:24:00,1
2023-05-15 17:38:00,1
2023-05-15 14:05:00,0
2023-05-15 13:18:00,1
2023-05-15 09:45:00,1
2023-05-15 09:45:00,0
