Date,Emotion
2023-06-05 11:02:00,0
2023-06-04 18:21:00,0
2023-05-27 18:56:00,2
2023-05-27 14:42:00,2
2023-05-27 13:33:00,2
2023-05-27 11:01:00,2
2023-05-27 10:13:00,2
2023-05-26 16:44:00,1
2023-05-26 15:27:00,2
2023-05-24 09:57:00,0
2023-05-24 07:02:00,0
2023-05-23 18:12:00,0
2023-05-23 17:02:00,0
2023-05-23 14:57:00,0
2023-05-23 15:15:00,0
2023-05-22 16:07:00,1
2023-05-20 13:02:00,1
2023-05-19 07:41:00,1
2023-05-18 16:58:00,1
2023-05-18 16:14:00,1
2023-05-17 16:13:00,0
2023-05-17 12:04:00,1
2023-05-16 16:03:00,2
2023-05-15 18:24:00,1
2023-05-15 18:12:00,1
2023-05-12 14:48:00,1
2023-05-11 14:12:00,1
2023-05-09 17:32:00,0
2023-05-09 11:05:00,0
2023-05-04 11:00:00,1
2023-05-04 09:38:00,1
2023-05-04 09:15:00,1
2023-05-04 08:58:00,1
2023-05-04 09:45:00,0
2023-05-03 18:21:00,0
2023-05-03 14:49:00,0
2023-05-03 11:35:00,0
2023-05-03 11:25:00,0
2023-05-03 11:02:00,0
2023-05-03 10:30:00,2
2023-04-28 14:57:00,1
2023-04-28 14:46:00,0
2023-04-28 10:03:00,0
2023-04-28 09:30:00,0
2023-04-28 09:17:00,1
2023-04-28 09:16:00,0
2023-04-28 09:14:00,1
2023-04-28 08:16:00,0
2023-04-26 07:30:00,2
2023-04-24 14:35:00,1
2023-04-24 10:05:00,1
2023-04-24 09:48:00,1
2023-04-24 09:40:00,1
2023-04-24 10:46:00,1
2023-04-24 09:48:00,1
2023-04-24 09:12:00,1
2023-04-24 08:43:00,0
2023-04-24 08:42:00,1
2023-04-23 06:02:00,0
2023-04-20 19:48:00,1
2023-04-20 14:24:00,0
2023-04-20 11:52:00,0
2023-04-20 11:19:00,0
2023-04-20 09:58:00,0
2023-04-20 09:38:00,0
2023-04-20 09:17:00,0
2023-04-20 09:16:00,0
2023-04-20 09:09:00,1
2023-04-20 08:59:00,0
2023-04-20 08:54:00,0
2023-04-20 17:48:00,0
2023-04-20 11:25:00,1
2023-04-20 09:34:00,1
2023-04-20 09:13:00,0
2023-04-20 08:55:00,1
2023-04-20 08:51:00,0
2023-04-20 08:45:00,0
2023-04-18 09:34:00,0
2023-04-18 09:15:00,0
2023-04-18 09:01:00,0
2023-04-18 08:48:00,0
2023-04-17 08:42:00,0
2023-04-17 08:21:00,1
2023-04-16 18:29:00,2
2023-04-16 18:26:00,0
2023-04-16 17:58:00,0
2023-04-16 13:19:00,0
2023-04-16 10:11:00,1
2023-04-16 09:38:00,1
2023-04-16 09:00:00,2
2023-04-13 17:55:00,0
2023-04-13 13:33:00,1
2023-04-13 09:39:00,1
2023-04-13 09:08:00,0
2023-04-13 08:51:00,1
2023-04-13 08:43:00,1
2023-04-13 11:07:00,1
2023-04-13 10:06:00,1
2023-04-13 08:59:00,1
2023-04-13 08:54:00,1
2023-04-13 08:39:00,1
2023-04-11 18:03:00,0
2023-04-11 16:10:00,1
2023-04-11 11:29:00,0
2023-04-11 10:03:00,1
2023-04-11 09:29:00,1
2023-04-11 09:07:00,1
2023-04-11 17:30:00,0
2023-04-11 11:15:00,1
2023-04-11 09:41:00,1
2023-04-11 09:39:00,1
2023-04-11 09:22:00,1
2023-04-11 16:34:00,1
2023-04-10 17:34:00,0
2023-04-10 16:07:00,0
2023-04-10 14:27:00,0
2023-04-10 09:25:00,0
2023-04-10 09:07:00,0
2023-04-10 08:43:00,0
2023-04-10 11:27:00,1
2023-04-10 11:26:00,0
2023-04-10 11:23:00,1
2023-04-10 11:06:00,0
2023-04-10 10:08:00,0
2023-04-10 09:09:00,0
2023-04-07 11:18:00,0
2023-04-07 09:13:00,2
2023-04-06 09:19:00,0
2023-04-04 18:09:00,1
2023-04-04 17:47:00,0
2023-04-04 15:17:00,0
2023-04-04 14:25:00,0
2023-04-04 14:03:00,0
2023-04-04 11:26:00,0
2023-04-04 10:49:00,1
2023-04-04 10:47:00,0
2023-04-04 10:38:00,0
2023-04-04 09:38:00,0
2023-04-04 09:20:00,0
2023-04-04 10:46:00,0
2023-04-04 10:30:00,0
2023-04-03 11:19:00,0
2023-03-31 15:25:00,1
2023-03-31 14:22:00,1
2023-03-31 13:32:00,1
2023-03-31 11:54:00,1
2023-03-31 09:57:00,1
2023-03-31 09:33:00,1
2023-03-31 11:27:00,0
2023-03-31 09:58:00,0
2023-03-31 10:12:00,0
2023-03-31 09:28:00,0
2023-03-28 11:38:00,1
2023-03-28 11:16:00,0
2023-03-28 10:46:00,0
2023-03-28 10:43:00,0
2023-03-28 09:48:00,0
2023-03-28 08:48:00,0
2023-03-28 10:54:00,0
2023-03-28 10:13:00,0
2023-03-28 09:48:00,0
2023-03-28 09:35:00,0
2023-03-15 14:46:00,0
2023-03-15 10:48:00,0
2023-03-15 09:52:00,0
2023-03-15 10:37:00,0
2023-03-15 10:21:00,0
2023-03-15 10:12:00,0
2023-03-15 10:11:00,0
2023-03-15 09:02:00,0
2023-03-15 09:01:00,0
2023-03-12 15:08:00,0
2023-03-10 07:55:00,0
2023-03-08 10:33:00,1
2023-03-08 09:46:00,1
2023-03-08 09:36:00,1
2023-03-08 09:11:00,1
2023-03-08 09:07:00,1
2023-03-01 12:02:00,1
2023-02-28 16:28:00,0
2023-02-27 10:59:00,1
2023-02-26 17:51:00,0
2023-02-23 11:10:00,0
2023-02-23 08:52:00,0
2023-02-22 13:54:00,0
2023-02-22 09:03:00,1
2023-02-22 08:58:00,1
2023-02-22 08:39:00,0
2023-02-22 08:06:00,1
2023-02-21 16:42:00,1
2023-02-21 15:45:00,1
2023-02-21 16:35:00,0
2023-02-21 15:49:00,1
2023-02-21 15:31:00,1
2023-02-21 14:57:00,1
2023-02-21 14:44:00,2
2023-02-21 14:35:00,1
2023-02-21 14:16:00,2
2023-02-21 14:14:00,2
2023-02-21 15:01:00,1
2023-02-21 14:12:00,2
2023-02-20 18:11:00,2
2023-02-20 13:16:00,2
2023-02-20 16:19:00,0
