Date,Emotion
2023-06-08 14:41:00,1
2023-06-08 10:46:00,0
2023-06-08 10:25:00,0
2023-06-08 09:11:00,0
2023-06-08 09:54:00,0
2023-06-07 09:16:00,0
2023-06-02 16:22:00,1
2023-06-02 14:24:00,0
2023-06-02 13:54:00,1
2023-06-02 13:45:00,1
2023-06-02 13:32:00,1
2023-06-02 11:41:00,1
2023-06-02 07:54:00,1
2023-06-01 18:44:00,1
2023-06-01 13:37:00,1
2023-06-01 11:20:00,0
2023-06-01 10:41:00,0
2023-06-01 10:28:00,1
2023-06-01 10:27:00,1
2023-06-01 17:44:00,0
2023-06-01 14:29:00,1
2023-06-01 10:20:00,0
2023-06-01 10:07:00,0
2023-06-01 09:41:00,0
2023-06-01 09:10:00,1
2023-06-01 09:10:00,0
2023-06-01 08:47:00,1
2023-06-01 08:44:00,1
2023-06-01 08:11:00,1
2023-06-01 11:27:00,0
2023-06-01 09:16:00,1
2023-06-01 09:01:00,1
2023-06-01 08:41:00,0
2023-06-01 08:31:00,0
2023-06-01 08:17:00,1
2023-05-31 17:52:00,1
2023-05-31 15:43:00,0
2023-05-31 14:46:00,1
2023-05-31 12:47:00,0
2023-05-31 11:07:00,1
2023-05-31 10:31:00,1
2023-05-31 14:47:00,1
2023-05-31 11:19:00,1
2023-05-31 09:39:00,1
2023-05-31 09:15:00,0
2023-05-30 18:02:00,0
2023-05-30 13:30:00,1
2023-05-30 09:12:00,0
2023-05-30 08:36:00,1
2023-05-26 17:58:00,0
2023-05-26 17:54:00,0
2023-05-26 15:37:00,0
2023-05-26 15:36:00,0
2023-05-26 15:36:00,0
2023-05-26 15:29:00,1
2023-05-26 15:27:00,1
2023-05-25 14:00:00,1
2023-05-25 13:34:00,0
2023-05-25 11:05:00,1
2023-05-25 11:02:00,1
2023-05-25 10:57:00,1
2023-05-25 10:23:00,1
2023-05-25 10:12:00,1
2023-05-25 10:55:00,0
2023-05-25 10:10:00,1
2023-05-25 10:00:00,1
2023-05-24 17:53:00,1
2023-05-24 15:08:00,1
2023-05-24 11:40:00,1
2023-05-24 10:01:00,1
2023-05-24 09:43:00,1
2023-05-24 09:16:00,0
2023-05-24 16:26:00,0
2023-05-24 13:37:00,1
2023-05-24 12:09:00,1
2023-05-24 11:14:00,0
2023-05-24 10:21:00,1
2023-05-24 09:31:00,0
2023-05-24 09:30:00,0
2023-05-24 09:12:00,1
2023-05-24 09:10:00,1
