Date,Emotion
2023-06-12 18:12:00,1
2023-06-12 15:11:00,1
2023-06-12 15:50:00,0
2023-06-11 18:10:00,1
2023-06-11 14:47:00,1
2023-06-08 15:07:00,1
2023-06-08 09:26:00,0
2023-06-08 09:23:00,0
2023-06-08 09:18:00,1
2023-06-08 09:02:00,0
2023-06-08 11:47:00,0
2023-06-08 11:16:00,0
2023-06-08 09:43:00,1
2023-06-08 09:09:00,0
2023-06-07 17:32:00,1
2023-06-07 14:55:00,1
2023-06-07 11:17:00,1
2023-06-07 08:46:00,1
2023-06-07 08:39:00,1
2023-06-07 08:10:00,1
2023-06-07 07:41:00,1
2023-06-07 06:27:00,1
2023-06-05 08:48:00,1
2023-06-05 07:31:00,1
2023-06-02 18:31:00,1
2023-06-02 18:01:00,1
2023-06-02 17:12:00,1
2023-06-02 16:37:00,1
2023-06-02 15:54:00,1
2023-06-02 14:07:00,1
2023-06-02 13:39:00,1
2023-06-02 13:36:00,1
2023-06-02 13:29:00,1
2023-06-02 13:22:00,1
2023-06-02 12:28:00,1
2023-06-02 16:44:00,2
2023-06-02 13:39:00,1
2023-06-02 12:04:00,1
2023-06-02 13:13:00,1
2023-06-02 12:33:00,1
2023-06-02 12:28:00,1
2023-06-02 12:15:00,0
2023-06-02 11:55:00,0
2023-06-01 15:59:00,0
2023-06-01 09:20:00,2
2023-06-01 07:48:00,2
2023-05-31 21:03:00,2
2023-05-30 17:18:00,1
2023-05-30 15:27:00,1
2023-05-30 11:19:00,1
2023-05-30 09:35:00,1
2023-05-30 08:21:00,1
2023-05-30 08:21:00,1
2023-05-30 15:35:00,1
2023-05-30 09:42:00,2
2023-05-30 09:41:00,2
2023-05-30 09:10:00,1
2023-05-30 10:00:00,1
2023-05-30 09:44:00,1
2023-05-30 09:31:00,1
2023-05-30 09:28:00,1
2023-05-30 09:07:00,1
2023-05-30 09:07:00,1
2023-05-30 09:04:00,1
2023-05-30 08:47:00,1
2023-05-30 09:22:00,1
2023-05-30 08:19:00,1
2023-05-30 08:17:00,1
2023-05-29 09:31:00,1
2023-05-25 08:35:00,1
2023-05-24 09:26:00,1
2023-05-23 18:21:00,0
2023-05-23 13:19:00,1
2023-05-23 10:46:00,1
2023-05-23 10:28:00,0
2023-05-23 14:54:00,1
2023-05-23 10:11:00,1
2023-05-23 14:50:00,0
2023-05-23 13:42:00,0
2023-05-23 11:37:00,0
2023-05-23 11:36:00,0
2023-05-23 11:08:00,1
2023-05-23 10:33:00,0
2023-05-23 10:29:00,0
2023-05-23 10:14:00,0
2023-05-23 10:05:00,0
2023-05-23 10:02:00,0
2023-05-23 13:48:00,1
2023-05-23 09:20:00,1
2023-05-23 08:45:00,1
2023-05-23 08:35:00,1
2023-05-23 08:28:00,1
2023-05-23 11:37:00,0
2023-05-23 11:36:00,0
2023-05-23 11:19:00,1
2023-05-23 09:14:00,1
2023-05-21 18:03:00,1
2023-05-10 11:40:00,1
2023-05-10 11:35:00,2
2023-05-10 09:37:00,2
2023-05-10 09:34:00,2
2023-05-10 09:10:00,0
2023-05-10 09:02:00,2
2023-05-10 09:01:00,0
2023-05-10 09:27:00,2
2023-05-10 09:14:00,2
2023-05-08 08:16:00,1
2023-05-08 07:55:00,1
2023-05-07 18:29:00,0
2023-05-07 09:07:00,1
2023-05-07 08:01:00,0
2023-05-07 17:16:00,1
2023-05-07 13:58:00,1
2023-05-07 09:07:00,2
2023-05-04 11:11:00,0
2023-05-04 10:56:00,0
2023-05-04 10:07:00,1
2023-05-04 10:03:00,0
2023-05-03 17:36:00,1
2023-05-03 13:56:00,1
2023-05-03 11:17:00,1
2023-05-03 11:16:00,0
2023-05-03 11:01:00,1
2023-05-03 11:00:00,2
2023-05-03 11:00:00,2
2023-05-03 11:00:00,1
2023-05-03 14:57:00,0
2023-05-03 14:56:00,0
2023-05-03 14:56:00,0
2023-05-03 12:22:00,1
2023-05-03 11:38:00,1
2023-05-03 11:38:00,2
2023-05-03 11:18:00,1
2023-05-03 11:02:00,1
2023-05-03 11:00:00,1
2023-05-03 11:24:00,1
2023-05-02 09:35:00,1
2023-05-02 06:25:00,1
2023-04-30 10:51:00,1
2023-04-30 10:36:00,2
2023-04-28 17:28:00,1
2023-04-28 15:48:00,1
2023-04-28 14:27:00,1
2023-04-28 11:32:00,1
2023-04-28 11:02:00,1
2023-04-28 11:01:00,1
2023-04-28 08:05:00,1
2023-04-28 07:53:00,1
2023-04-28 16:27:00,1
2023-04-28 13:59:00,1
2023-04-28 13:49:00,1
2023-04-28 13:29:00,1
2023-04-28 11:26:00,1
2023-04-28 11:09:00,1
2023-04-28 10:59:00,1
2023-04-28 10:47:00,1
2023-04-28 11:08:00,1
2023-04-28 09:02:00,1
2023-04-28 09:36:00,1
2023-04-28 08:29:00,1
2023-04-28 07:52:00,1
2023-04-27 16:56:00,2
2023-04-27 16:27:00,1
2023-04-27 14:55:00,1
2023-04-27 14:45:00,1
2023-04-27 15:43:00,1
2023-04-27 15:39:00,1
2023-04-27 15:10:00,1
2023-04-27 15:04:00,1
2023-04-27 14:51:00,2
2023-04-27 14:49:00,1
2023-04-27 14:44:00,1
2023-04-27 14:41:00,1
2023-04-27 14:34:00,1
2023-04-26 18:14:00,1
2023-04-26 17:32:00,1
2023-04-26 13:36:00,1
2023-04-26 12:38:00,1
2023-04-26 12:19:00,1
2023-04-26 11:07:00,1
2023-04-26 11:05:00,1
2023-04-26 11:00:00,1
2023-04-26 10:59:00,1
2023-04-26 10:57:00,1
2023-04-26 18:04:00,1
2023-04-26 17:47:00,1
2023-04-26 15:37:00,1
2023-04-26 15:36:00,1
2023-04-26 15:02:00,1
2023-04-26 11:22:00,1
2023-04-26 11:05:00,1
2023-04-26 17:37:00,0
2023-04-26 11:22:00,1
2023-04-26 11:06:00,1
2023-04-26 11:01:00,1
2023-04-26 11:04:00,1
2023-04-26 10:50:00,1
2023-04-26 10:48:00,1
2023-04-26 10:47:00,1
2023-04-24 19:43:00,1
2023-04-24 15:06:00,1
2023-04-24 14:29:00,1
2023-04-24 14:15:00,1
2023-04-24 18:15:00,1
2023-04-24 18:10:00,1
2023-04-24 15:13:00,1
2023-04-24 15:09:00,1
2023-04-24 14:11:00,1
2023-04-24 14:01:00,1
2023-04-24 13:56:00,1
2023-04-24 13:53:00,1
2023-04-24 13:49:00,1
2023-04-24 13:32:00,1
2023-04-24 13:30:00,1
2023-04-24 13:46:00,1
2023-04-24 11:05:00,1
2023-04-24 09:20:00,0
2023-04-23 15:13:00,1
2023-04-23 15:02:00,0
2023-04-23 15:02:00,1
2023-04-21 11:04:00,0
2023-04-21 09:53:00,1
2023-04-21 09:29:00,0
2023-04-21 09:08:00,0
2023-04-21 08:40:00,0
2023-04-21 09:43:00,2
2023-04-21 09:37:00,0
2023-04-21 09:30:00,1
2023-04-21 09:13:00,0
2023-04-21 09:06:00,0
