Date,Emotion
2023-06-09 08:56:00,2
2023-06-08 18:25:00,0
2023-06-08 16:39:00,1
2023-06-08 15:10:00,1
2023-06-08 15:05:00,1
2023-06-08 11:09:00,1
2023-06-08 11:01:00,1
2023-06-08 11:00:00,1
2023-06-08 11:51:00,1
2023-06-08 11:03:00,1
2023-06-08 11:00:00,1
2023-06-08 11:00:00,1
2023-06-05 12:43:00,0
2023-06-05 11:46:00,1
2023-06-03 05:51:00,1
2023-06-02 08:23:00,1
2023-06-01 18:12:00,1
2023-06-01 18:02:00,1
2023-06-01 16:34:00,0
2023-06-01 11:37:00,1
2023-06-01 09:42:00,1
2023-06-01 09:41:00,1
2023-06-01 08:39:00,1
2023-06-01 08:38:00,1
2023-06-01 08:17:00,1
2023-06-01 13:57:00,1
2023-06-01 08:27:00,1
2023-05-31 14:41:00,1
2023-05-30 17:08:00,1
2023-05-30 17:03:00,1
2023-05-29 16:27:00,1
2023-05-25 16:22:00,0
2023-05-25 12:18:00,0
2023-05-25 11:14:00,1
2023-05-25 11:00:00,0
2023-05-25 11:02:00,0
2023-05-25 11:01:00,0
2023-05-25 11:01:00,1
2023-05-25 11:01:00,1
2023-05-25 11:00:00,1
2023-05-24 11:29:00,1
2023-05-22 18:23:00,1
2023-05-22 15:59:00,1
2023-05-22 17:15:00,1
2023-05-18 15:49:00,0
2023-05-18 09:02:00,0
2023-05-18 08:38:00,1
2023-05-17 18:47:00,0
2023-05-17 11:28:00,0
2023-05-17 11:07:00,1
2023-05-17 11:07:00,0
2023-05-17 11:02:00,1
2023-05-17 11:01:00,0
2023-05-17 11:00:00,1
2023-05-17 15:13:00,1
2023-05-17 11:02:00,0
2023-05-17 11:01:00,0
2023-05-16 08:52:00,0
2023-05-15 16:41:00,1
2023-05-12 13:52:00,1
2023-05-12 11:32:00,1
2023-05-12 11:32:00,1
2023-05-12 11:31:00,1
2023-05-12 11:31:00,1
2023-05-12 11:31:00,1
2023-05-12 11:30:00,1
2023-05-12 11:30:00,1
2023-05-11 10:12:00,1
2023-05-08 18:18:00,1
2023-05-04 18:54:00,2
2023-05-02 07:26:00,1
2023-04-28 18:52:00,0
2023-04-28 17:40:00,0
2023-04-28 15:41:00,1
2023-04-28 14:35:00,0
2023-04-28 11:18:00,1
2023-04-28 11:02:00,0
2023-04-28 11:00:00,0
2023-04-28 11:31:00,1
2023-04-28 11:02:00,1
2023-04-28 11:01:00,0
2023-04-28 11:00:00,0
2023-04-27 16:36:00,2
2023-04-27 07:00:00,1
2023-04-27 09:16:00,1
2023-04-27 08:13:00,2
2023-04-27 07:57:00,1
2023-04-27 07:42:00,2
2023-04-26 17:52:00,1
2023-04-26 14:31:00,1
2023-04-26 10:41:00,1
2023-04-26 10:29:00,1
2023-04-26 10:06:00,1
2023-04-26 15:19:00,1
2023-04-26 11:32:00,1
2023-04-26 10:32:00,1
2023-04-26 10:24:00,1
2023-04-26 10:09:00,1
2023-04-26 10:09:00,1
2023-04-26 10:06:00,1
2023-04-26 13:56:00,0
2023-04-26 10:39:00,1
2023-04-26 10:23:00,1
2023-04-26 10:10:00,1
2023-04-26 10:09:00,1
2023-04-25 10:08:00,1
2023-04-25 09:50:00,1
2023-04-24 14:16:00,1
2023-04-24 10:00:00,1
2023-04-23 22:25:00,0
2023-04-23 14:36:00,0
2023-04-23 13:02:00,0
2023-04-23 13:01:00,0
2023-04-23 18:20:00,1
2023-04-23 15:45:00,1
2023-04-23 15:07:00,0
2023-04-23 13:00:00,1
2023-04-23 15:58:00,1
2023-04-23 14:36:00,1
2023-04-23 13:07:00,1
2023-04-19 17:59:00,1
2023-04-19 16:03:00,1
2023-04-19 15:53:00,1
2023-04-19 15:38:00,1
2023-04-19 15:01:00,1
2023-04-19 15:01:00,1
2023-04-19 15:00:00,1
2023-04-19 15:00:00,1
2023-04-19 17:56:00,1
2023-04-19 17:11:00,0
2023-04-19 17:07:00,0
2023-04-19 15:01:00,1
2023-04-19 15:01:00,1
2023-04-19 15:00:00,0
2023-04-17 16:25:00,1
2023-04-17 13:00:00,0
2023-04-17 16:25:00,0
2023-04-17 15:50:00,1
2023-04-17 14:39:00,1
2023-04-17 13:15:00,1
2023-04-17 13:12:00,1
2023-04-17 13:00:00,1
2023-04-17 13:00:00,1
2023-04-12 14:52:00,1
2023-04-11 08:52:00,1
2023-04-11 08:06:00,1
2023-04-11 07:47:00,1
2023-04-10 09:08:00,1
2023-04-10 09:07:00,1
2023-04-07 15:37:00,0
2023-04-07 15:37:00,0
2023-04-04 17:45:00,1
2023-04-01 08:00:00,0
2023-03-30 17:31:00,1
2023-03-28 18:24:00,1
2023-03-28 14:08:00,1
2023-03-28 16:17:00,1
2023-03-28 14:38:00,0
2023-03-28 06:05:00,2
2023-03-27 13:17:00,1
2023-03-27 11:03:00,0
2023-03-27 11:00:00,0
2023-03-27 11:00:00,1
2023-03-27 11:02:00,1
2023-03-27 11:01:00,1
2023-03-27 11:01:00,1
2023-03-27 11:01:00,0
2023-03-27 11:00:00,1
2023-03-27 09:43:00,0
2023-03-26 16:04:00,1
2023-03-23 15:52:00,1
2023-03-22 16:47:00,0
2023-03-22 15:45:00,0
2023-03-22 14:53:00,0
2023-03-22 14:11:00,0
2023-03-22 13:33:00,0
2023-03-22 11:14:00,0
2023-03-22 11:02:00,0
2023-03-21 07:20:00,1
2023-03-20 11:13:00,1
2023-03-19 18:23:00,1
2023-03-19 17:14:00,1
2023-03-19 17:17:00,0
2023-03-19 13:02:00,0
2023-03-19 13:01:00,1
2023-03-19 13:00:00,1
2023-03-19 13:00:00,1
2023-03-18 11:01:00,0
2023-03-16 18:32:00,0
2023-03-15 17:10:00,0
2023-03-14 19:46:00,0
2023-03-14 19:05:00,0
2023-03-14 18:01:00,0
2023-03-14 17:43:00,0
2023-03-14 16:58:00,0
2023-03-14 16:46:00,0
2023-03-11 08:49:00,0
2023-03-10 17:40:00,1
2023-03-09 18:08:00,1
2023-03-09 13:37:00,1
2023-03-09 11:45:00,1
2023-03-09 11:02:00,2
2023-03-09 11:00:00,1
2023-03-09 11:00:00,2
2023-03-09 11:01:00,1
2023-03-09 11:00:00,1
2023-03-07 17:23:00,1
2023-03-07 12:10:00,1
2023-03-07 10:28:00,1
2023-03-07 10:27:00,0
2023-03-06 11:19:00,1
2023-03-05 18:15:00,1
2023-03-05 13:01:00,1
2023-03-05 13:01:00,1
2023-03-05 13:00:00,1
2023-03-05 13:00:00,1
2023-03-05 13:38:00,0
2023-03-05 13:31:00,1
2023-03-05 13:02:00,1
2023-03-01 08:40:00,2
2023-02-27 15:58:00,0
2023-02-27 11:59:00,0
2023-02-27 11:51:00,0
2023-02-27 11:06:00,0
2023-02-27 11:03:00,0
2023-02-27 11:01:00,0
2023-02-27 11:00:00,0
2023-02-27 11:00:00,0
2023-02-26 16:01:00,0
2023-02-24 11:14:00,1
2023-02-23 16:50:00,2
2023-02-23 16:43:00,2
2023-02-22 20:30:00,2
2023-02-22 20:30:00,2
2023-02-22 20:30:00,2
2023-02-22 20:30:00,2
2023-02-22 20:30:00,2
2023-02-22 13:53:00,2
2023-02-22 10:34:00,2
2023-02-22 09:55:00,2
2023-02-22 11:06:00,2
2023-02-22 09:59:00,2
2023-02-22 09:13:00,2
2023-02-22 08:07:00,2
2023-04-26 10:09:00,1
2023-04-26 10:09:00,1
2023-04-26 10:06:00,1
2023-04-26 10:09:00,1
2023-04-26 10:06:00,1
2023-04-25 10:08:00,1
2023-04-25 09:50:00,1
2023-04-24 14:16:00,1
2023-04-24 10:00:00,1
2023-04-23 22:25:00,0
2023-04-23 14:36:00,0
2023-04-23 13:02:00,0
2023-04-23 13:01:00,0
2023-04-23 18:20:00,1
2023-04-23 15:45:00,1
2023-04-23 15:07:00,0
2023-04-23 13:00:00,1
2023-04-23 15:58:00,1
2023-04-23 18:20:00,1
2023-04-23 15:45:00,1
2023-04-23 15:07:00,0
2023-04-23 13:00:00,1
2023-04-23 15:58:00,1
2023-04-23 14:36:00,1
2023-04-23 13:07:00,1
2023-04-23 14:36:00,0
2023-04-23 13:02:00,0
2023-04-23 13:01:00,0
2023-04-19 17:59:00,1
2023-04-19 16:03:00,1
2023-04-19 15:53:00,1
2023-04-19 15:38:00,1
2023-04-19 15:01:00,1
2023-04-19 15:01:00,1
2023-04-19 15:00:00,1
2023-04-19 15:00:00,1
2023-04-19 17:56:00,1
2023-04-19 17:11:00,0
2023-04-19 17:07:00,0
2023-04-19 15:01:00,1
2023-04-19 15:01:00,1
2023-04-19 15:00:00,0
