Date,카카오뱅크,삼성생명,LG,SK이노베이션,KB금융,삼성물산,현대모비스,셀트리온,포스코퓨처엠,기아,삼성SDI,LG화학,삼성바이오로직스,SK하이닉스,LG에너지솔루션
2023-04-28,23069.795,64596.57,84370.266,172623.55,48836.707,111059.055,217940.94,165607.02,296336.0,83569.15,689985.7,721863.06,798559.8,89041.06,566740.6
2023-05-02,23687.598,65744.69,84364.34,172955.14,49826.008,112061.87,215209.86,165026.08,297998.62,82585.164,689707.6,716770.56,800555.94,90237.516,558657.7
2023-05-03,24194.46,66489.016,84628.95,173434.55,48960.53,112280.46,217670.5,166112.08,302546.84,82498.516,689423.8,723499.25,796724.94,89994.34,568727.6
2023-05-04,25287.992,66338.52,85216.87,172554.56,48574.977,111515.69,216320.17,164936.73,296003.53,82336.43,676091.3,703886.5,800511.3,88988.125,552164.0
2023-05-08,24063.889,66436.02,85327.54,173341.83,48816.074,111489.09,216062.62,167396.69,294261.0,82052.95,674167.56,700905.56,811363.6,88576.48,544670.44
2023-05-09,25167.879,66480.63,86350.31,178849.05,49166.676,111699.08,217352.66,168127.67,288931.12,83120.65,668865.06,708913.94,807518.25,89147.82,547847.5
2023-05-10,25681.422,66313.26,86629.26,179149.86,48951.78,112957.58,217277.95,174067.73,276833.4,82852.08,671498.94,699049.06,805523.25,88180.08,543249.75
2023-05-11,25859.004,66603.77,86997.55,176087.98,48749.473,112018.55,219691.66,171341.64,262680.97,84251.59,663226.9,685296.44,801877.8,87971.77,550276.4
2023-05-12,26086.518,67129.23,86914.48,173850.12,49534.785,113275.96,222648.53,171389.72,264950.47,85495.31,665821.3,684760.2,802720.7,87687.08,543659.3
2023-05-15,25786.436,66517.77,85410.04,173708.02,49397.58,112175.97,219918.92,170049.19,259698.42,84929.945,656557.8,674327.6,800176.4,88272.87,529584.5
2023-05-16,25650.486,66802.05,84756.94,172631.44,48938.934,112606.48,219007.58,170761.16,257998.52,84921.81,665332.06,673883.44,806082.6,87696.67,526297.4
2023-05-17,25940.709,66917.664,84564.06,173353.6,49298.926,111686.25,215832.78,171172.0,263810.22,83826.016,660527.6,683794.2,803190.7,90985.09,537181.9
2023-05-18,25531.441,66148.6,85006.67,174734.47,48815.543,112003.85,217119.31,172814.81,262502.53,83842.45,669383.8,679937.7,801653.7,90977.33,545348.56
2023-05-19,25575.518,66404.03,85430.555,176006.98,49101.73,112368.17,221102.53,171816.08,272120.34,85219.414,680158.2,689816.75,810075.8,91659.23,543761.1
2023-05-22,26065.72,66877.67,85858.375,174874.3,49182.23,112364.93,219635.56,172398.03,269112.75,85033.67,684304.75,678902.3,799168.8,94248.734,540692.9
2023-05-23,26500.195,66881.39,85746.695,174419.97,49147.605,112815.0,222122.52,177134.5,266627.75,84358.23,686791.06,678144.3,803119.75,94148.55,545210.44
2023-05-24,26275.197,66758.56,85923.88,176017.88,49216.39,112681.07,221139.06,178143.2,290220.34,84664.0,691598.06,699780.0,806047.56,93653.086,558795.06
2023-05-25,25993.934,66530.766,85471.89,175428.61,48931.1,112190.47,222010.4,177608.78,281668.34,83372.35,687798.3,695753.9,804443.2,93324.73,559745.6
2023-05-26,25736.707,66677.484,84861.47,178210.94,48874.17,112068.875,219851.03,173872.98,276908.66,82958.74,685756.3,687694.4,805368.56,99283.95,558313.25
2023-05-30,26014.244,66454.69,84168.99,176320.8,48308.43,111678.125,219000.66,174085.34,275095.66,83643.0,681104.1,680563.2,798520.7,102349.945,559373.25
2023-05-31,26495.918,65999.266,84759.83,180664.77,48549.523,112409.24,219857.23,174435.4,283553.47,82690.234,703102.94,689750.5,803921.56,103038.83,563736.0
2023-06-01,26382.623,66700.2,84931.46,179587.7,48960.78,112497.266,220044.84,171953.98,291057.34,82505.05,702772.9,688188.7,802149.1,100736.695,576125.56
2023-06-02,26435.324,65987.81,84291.055,181606.22,48383.387,113463.99,218703.23,175354.89,292939.9,81659.49,693061.4,674763.0,808750.2,100210.08,560706.25
2023-06-05,26628.154,66258.55,85313.305,182649.16,48124.14,112226.75,218481.44,174489.39,314413.16,81556.91,697375.3,694523.9,805499.8,101211.33,570004.44
2023-06-07,27467.94,66577.04,85451.484,186083.23,49120.11,111680.83,220067.69,173759.84,325451.03,81287.484,690046.0,697334.2,806610.1,99896.29,572627.8
2023-06-08,27417.303,67495.96,87011.586,188035.66,49019.453,112744.88,217953.05,170740.02,321073.75,82548.98,716687.5,721330.9,810137.56,99791.75,581206.5
2023-06-09,26891.771,67489.86,86430.18,185778.44,48968.945,112417.67,216747.73,170745.45,327790.62,78626.57,707835.75,708766.5,809003.56,99973.49,569893.5
2023-06-12,26726.85,67285.15,87093.13,186333.12,49421.164,113541.8,218198.0,171821.48,328448.9,79163.44,711729.4,724287.44,819114.5,103861.69,585860.75
2023-06-13,27135.613,67058.77,86567.95,187032.45,48910.84,111785.195,217042.77,170501.52,325557.2,78397.81,715331.9,724081.44,809684.94,102939.77,582347.25
